userName,score,at,content,polarity_score,sentiment,content_stopwords,content_stemmed,cleaned_tokenized_stemmed,cleaned_sentence
hendra susanto,2,8/4/2024 18:48,kenapa gerakin maps nya jadi panah bukan garis biru seperti dulu jadi lama gerakinya bkn lbh baik mlah lbh buruk parah,-21,NEGATIVE,gerakin maps nya jadi panah bukan garis biru dulu jadi lama gerakinya bkn lbh baik mlah lbh buruk parah,gerakin maps nya jadi panah bukan garis biru dulu jadi lama gerak bkn lbh baik mlah lbh buruk parah,"['gerakin', 'maps', 'nya', 'jadi', 'panah', 'bukan', 'garis', 'biru', 'dulu', 'jadi', 'lama', 'gerak', 'bkn', 'lbh', 'baik', 'mlah', 'lbh', 'buruk', 'parah']",gerakin maps nya jadi panah bukan garis biru dulu jadi lama gerak bkn lbh baik mlah lbh buruk parah
Andi Tobing,5,8/4/2024 18:47,paling enak rasa original rasa iga bakarnya berani danlembut di mulut wajib nyoba untukyang di bintaro dansekitarnya,-6,NEGATIVE,paling enak rasa original rasa iga bakarnya berani danlembut mulut wajib nyoba untukyang bintaro dansekitarnya,paling enak rasa original rasa iga bakar berani danlembut mulut wajib nyoba untukyang bintaro dansekitarnya,"['paling', 'enak', 'rasa', 'original', 'rasa', 'iga', 'bakar', 'berani', 'danlembut', 'mulut', 'wajib', 'nyoba', 'untukyang', 'bintaro', 'dansekitarnya']",paling enak rasa original rasa iga bakar berani danlembut mulut wajib nyoba untukyang bintaro dansekitarnya
Sakim Sakim,5,8/4/2024 18:45,sangatmembantu menemukan menunjukan suatu lokasi tempat yang akuratpertahankan terus danbisa lebih baik lagi danlagi,-6,NEGATIVE,sangatmembantu menemukan menunjukan suatu lokasi tempat akuratpertahankan terus danbisa lebih baik danlagi,sangatmembantu temu tunjuk suatu lokasi tempat akuratpertahankan terus danbisa lebih baik danlagi,"['sangatmembantu', 'temu', 'tunjuk', 'suatu', 'lokasi', 'tempat', 'akuratpertahankan', 'terus', 'danbisa', 'lebih', 'baik', 'danlagi']",sangatmembantu temu tunjuk suatu lokasi tempat akuratpertahankan terus danbisa lebih baik danlagi
Heriyanto Fadillah,5,8/4/2024 17:47,lebih mudah dancepat mencari tempatalamat,1,POSITIVE,lebih mudah dancepat mencari tempatalamat,lebih mudah dancepat cari tempatalamat,"['lebih', 'mudah', 'dancepat', 'cari', 'tempatalamat']",lebih mudah dancepat cari tempatalamat
irna kencana,3,8/4/2024 15:52,makin parah saja google map adajarak yang lebih dekat malah dipake yang jauh perbaikilah kalau sudah bener baru kasih bintang ,-18,NEGATIVE,makin parah google map adajarak lebih dekat malah dipake jauh perbaikilah kalau bener baru kasih bintang,makin parah google map adajarak lebih dekat malah dipake jauh baik kalau bener baru kasih bintang,"['makin', 'parah', 'google', 'map', 'adajarak', 'lebih', 'dekat', 'malah', 'dipake', 'jauh', 'baik', 'kalau', 'bener', 'baru', 'kasih', 'bintang']",makin parah google map adajarak lebih dekat malah dipake jauh baik kalau bener baru kasih bintang
Niang ayu rohma Dhini,2,8/4/2024 13:53,hallo min kenapa sekrang liminasanya tidak seperti biasanya biasanya bisa di pakek beberapa hp tetapi sekrang tidak bisa cuma hp  saja yang connec,-18,NEGATIVE,hallo min sekrang liminasanya biasanya biasanya pakek beberapa hp sekrang cuma hp connec,hallo min sekrang liminasanya biasa biasa pakek beberapa hp sekrang cuma hp connec,"['hallo', 'min', 'sekrang', 'liminasanya', 'biasa', 'biasa', 'pakek', 'beberapa', 'hp', 'sekrang', 'cuma', 'hp', 'connec']",hallo min sekrang liminasanya biasa biasa pakek beberapa hp sekrang cuma hp connec
Ari Purnawan,5,8/4/2024 13:10,mohon ditambahkan opsi rute hindari jalan kecil danhindari jalan tanjakan tinggi,-4,NEGATIVE,mohon ditambahkan opsi rute hindari jalan kecil danhindari jalan tanjakan tinggi,mohon tambah opsi rute hindar jalan kecil danhindari jalan tanjak tinggi,"['mohon', 'tambah', 'opsi', 'rute', 'hindar', 'jalan', 'kecil', 'danhindari', 'jalan', 'tanjak', 'tinggi']",mohon tambah opsi rute hindar jalan kecil danhindari jalan tanjak tinggi
Alfarizie Mr,4,8/4/2024 12:58,rute untuksepeda motor mengapa sering hilangtidak muncul dalam pilihan ya dengan clear data bisa muncul lagi tapi kadang juga gak muncul gmn yah,4,POSITIVE,rute untuksepeda motor sering hilangtidak muncul pilihan clear data muncul kadang gak muncul gmn yah,rute untuksepeda motor sering hilangtidak muncul pilih clear data muncul kadang gak muncul gmn yah,"['rute', 'untuksepeda', 'motor', 'sering', 'hilangtidak', 'muncul', 'pilih', 'clear', 'data', 'muncul', 'kadang', 'gak', 'muncul', 'gmn', 'yah']",rute untuksepeda motor sering hilangtidak muncul pilih clear data muncul kadang gak muncul gmn yah
Kimin Go,1,8/4/2024 11:44,kecewa banget sama google map nihorang sudahkelewat baru bilang belok kiri padahal sinyal aman aman saja jalan ikon nya juga patah patah terus padahal sinyall untukapa saja stabil,-7,NEGATIVE,kecewa banget sama google map nihorang sudahkelewat baru bilang belok kiri padahal sinyal aman aman jalan ikon nya patah patah terus padahal sinyall untukapa stabil,kecewa banget sama google map nihorang sudahkelewat baru bilang belok kiri padahal sinyal aman aman jalan ikon nya patah patah terus padahal sinyall untukapa stabil,"['kecewa', 'banget', 'sama', 'google', 'map', 'nihorang', 'sudahkelewat', 'baru', 'bilang', 'belok', 'kiri', 'padahal', 'sinyal', 'aman', 'aman', 'jalan', 'ikon', 'nya', 'patah', 'patah', 'terus', 'padahal', 'sinyall', 'untukapa', 'stabil']",kecewa banget sama google map nihorang sudahkelewat baru bilang belok kiri padahal sinyal aman aman jalan ikon nya patah patah terus padahal sinyall untukapa stabil
Isal Bae,5,8/4/2024 8:02,aplikasinya sangat membantu bagi yang di tidak tau arah jalan yang kita tujuh aplikasi bagus banget tanpa adaiklan danmudah di pahami,-24,NEGATIVE,aplikasinya sangat membantu tau arah jalan tujuh aplikasi bagus banget adaiklan danmudah pahami,aplikasi sangat bantu tau arah jalan tujuh aplikasi bagus banget adaiklan danmudah paham,"['aplikasi', 'sangat', 'bantu', 'tau', 'arah', 'jalan', 'tujuh', 'aplikasi', 'bagus', 'banget', 'adaiklan', 'danmudah', 'paham']",aplikasi sangat bantu tau arah jalan tujuh aplikasi bagus banget adaiklan danmudah paham
Christian eben haezer Tobing,1,8/4/2024 7:03,google linimasa terlalu banyak error masa jalan nya lurus aja,-3,NEGATIVE,google linimasa terlalu banyak error masa jalan nya lurus aja,google linimasa terlalu banyak error masa jalan nya lurus aja,"['google', 'linimasa', 'terlalu', 'banyak', 'error', 'masa', 'jalan', 'nya', 'lurus', 'aja']",google linimasa terlalu banyak error masa jalan nya lurus aja
Aviv Rahman,1,8/4/2024 6:59,lama aplikasinya bapukmaps nya tidak pernah mau jalanpdahal jaringan bagus,-4,NEGATIVE,lama aplikasinya bapukmaps nya pernah mau jalanpdahal jaringan bagus,lama aplikasi bapukmaps nya pernah mau jalanpdahal jaring bagus,"['lama', 'aplikasi', 'bapukmaps', 'nya', 'pernah', 'mau', 'jalanpdahal', 'jaring', 'bagus']",lama aplikasi bapukmaps nya pernah mau jalanpdahal jaring bagus
Adelia Eka,5,8/4/2024 6:14,google maps navigasi yang sempurna untukmencari titik lokasi dengan tepat,-8,NEGATIVE,google maps navigasi sempurna untukmencari titik lokasi tepat,google maps navigasi sempurna untukmencari titik lokasi tepat,"['google', 'maps', 'navigasi', 'sempurna', 'untukmencari', 'titik', 'lokasi', 'tepat']",google maps navigasi sempurna untukmencari titik lokasi tepat
Kojingwan Robert,2,8/4/2024 4:50,saya beri  karena maps sama yang asli di lapangan beda semua pertama dinas ketenagakerjaaan seharusnya jembatan danjalannya itu ke dinas ketenagakerjaan jadi satu yang di maps jalan sendiri lokasi dinas ketenagakerjaan sendiri jdi terpisah kedua sebelum alfamart seharusnya itu indomaret di maaps counter jne ketiga es serut legend sudah tidak jualan lagi ini di maaps masih adadanletaknya di rumah warga ke empat sd n  purwokerto itu yang asli tepatnya depan jl mangga  di maaps beda,-39,NEGATIVE,beri maps sama asli lapangan beda semua pertama dinas ketenagakerjaaan jembatan danjalannya dinas ketenagakerjaan jadi satu maps jalan sendiri lokasi dinas ketenagakerjaan sendiri jdi terpisah kedua alfamart indomaret maaps counter jne ketiga es serut legend jualan maaps adadanletaknya rumah warga empat sd n purwokerto asli tepatnya depan jl mangga maaps beda,beri maps sama asli lapang beda semua pertama dinas ketenagakerjaaan jembatan danjalannya dinas ketenagakerjaan jadi satu maps jalan sendiri lokasi dinas ketenagakerjaan sendiri jdi pisah dua alfamart indomaret maaps counter jne tiga es serut legend jual maaps adadanletaknya rumah warga empat sd n purwokerto asli tepat depan jl mangga maaps beda,"['beri', 'maps', 'sama', 'asli', 'lapang', 'beda', 'semua', 'pertama', 'dinas', 'ketenagakerjaaan', 'jembatan', 'danjalannya', 'dinas', 'ketenagakerjaan', 'jadi', 'satu', 'maps', 'jalan', 'sendiri', 'lokasi', 'dinas', 'ketenagakerjaan', 'sendiri', 'jdi', 'pisah', 'dua', 'alfamart', 'indomaret', 'maaps', 'counter', 'jne', 'tiga', 'es', 'serut', 'legend', 'jual', 'maaps', 'adadanletaknya', 'rumah', 'warga', 'empat', 'sd', 'n', 'purwokerto', 'asli', 'tepat', 'depan', 'jl', 'mangga', 'maaps', 'beda']",beri maps sama asli lapang beda semua pertama dinas ketenagakerjaaan jembatan danjalannya dinas ketenagakerjaan jadi satu maps jalan sendiri lokasi dinas ketenagakerjaan sendiri jdi pisah dua alfamart indomaret maaps counter jne tiga es serut legend jual maaps adadanletaknya rumah warga empat sd n purwokerto asli tepat depan jl mangga maaps beda
akif irawan,1,8/4/2024 1:24,di phone saya tidak adaopsi hindari jalan perkampungan atau hindari jalan kecil atau hindari jalan sepeda motor tidak seperti bersi lama yang lengkap,-27,NEGATIVE,phone adaopsi hindari jalan perkampungan hindari jalan kecil hindari jalan sepeda motor bersi lama lengkap,phone adaopsi hindar jalan kampung hindar jalan kecil hindar jalan sepeda motor bersi lama lengkap,"['phone', 'adaopsi', 'hindar', 'jalan', 'kampung', 'hindar', 'jalan', 'kecil', 'hindar', 'jalan', 'sepeda', 'motor', 'bersi', 'lama', 'lengkap']",phone adaopsi hindar jalan kampung hindar jalan kecil hindar jalan sepeda motor bersi lama lengkap
Niitha Lestari,1,8/3/2024 22:14,akhir ini ntah kenapa maps jadi eror kita nya sudahjalan tetapi maps stuck dititik awal dantanpa adakejelasan brp kecepetan kita danselalu adanotif sinyal gps hilang danmenelusuri gps alhasil pk cara lama harus dipratinjau dulu atau nanya org sekitar malah semakin ribet semakin lama malah semakin putar gak jelas,-20,NEGATIVE,akhir ntah maps jadi eror nya sudahjalan maps stuck dititik awal dantanpa adakejelasan brp kecepetan danselalu adanotif sinyal gps hilang danmenelusuri gps alhasil pk cara lama dipratinjau dulu nanya org malah semakin ribet semakin lama malah semakin putar gak jelas,akhir ntah maps jadi eror nya sudahjalan maps stuck titik awal dantanpa adakejelasan brp kecepetan danselalu adanotif sinyal gps hilang danmenelusuri gps alhasil pk cara lama pratinjau dulu nanya org malah makin ribet makin lama malah makin putar gak jelas,"['akhir', 'ntah', 'maps', 'jadi', 'eror', 'nya', 'sudahjalan', 'maps', 'stuck', 'titik', 'awal', 'dantanpa', 'adakejelasan', 'brp', 'kecepetan', 'danselalu', 'adanotif', 'sinyal', 'gps', 'hilang', 'danmenelusuri', 'gps', 'alhasil', 'pk', 'cara', 'lama', 'pratinjau', 'dulu', 'nanya', 'org', 'malah', 'makin', 'ribet', 'makin', 'lama', 'malah', 'makin', 'putar', 'gak', 'jelas']",akhir ntah maps jadi eror nya sudahjalan maps stuck titik awal dantanpa adakejelasan brp kecepetan danselalu adanotif sinyal gps hilang danmenelusuri gps alhasil pk cara lama pratinjau dulu nanya org malah makin ribet makin lama malah makin putar gak jelas
novel enam,1,8/3/2024 22:06,saya kerja menggunakan map dansekarang buruk tolong diperbaiki versi yqng baru ini,-5,NEGATIVE,kerja menggunakan map dansekarang buruk diperbaiki versi yqng baru,kerja guna map dansekarang buruk baik versi yqng baru,"['kerja', 'guna', 'map', 'dansekarang', 'buruk', 'baik', 'versi', 'yqng', 'baru']",kerja guna map dansekarang buruk baik versi yqng baru
Pengamen jalanan,5,8/3/2024 21:50, adalah versi terbaik dari yang sebelum belumnya pertahanankan kenapa bisa di bilang begitu titik kordinat biru bergerak ketika hp di gerakan tidak melalui jalan yang jelek padahal kalau lewat jalan yang jelek lebih deket jalurnya tidak semua pengemudi menyukai ini tapi saya suka karena takut di prank lagi dengan jalan yang jelek nbjalan jelek itu jalan bukan yang di aspal sudahrusak tapi jalan tanah yang ancur yang becek banyak batu jalan gak rata pertahankan ya,-76,NEGATIVE,versi terbaik belumnya pertahanankan bilang titik kordinat biru bergerak hp gerakan melalui jalan jelek padahal kalau lewat jalan jelek lebih deket jalurnya semua pengemudi menyukai suka takut prank jalan jelek nbjalan jelek jalan bukan aspal sudahrusak jalan tanah ancur becek banyak batu jalan gak rata pertahankan,versi baik belum pertahanankan bilang titik kordinat biru gerak hp gera lalu jalan jelek padahal kalau lewat jalan jelek lebih deket jalur semua kemudi suka suka takut prank jalan jelek nbjalan jelek jalan bukan aspal sudahrusak jalan tanah ancur becek banyak batu jalan gak rata tahan,"['versi', 'baik', 'belum', 'pertahanankan', 'bilang', 'titik', 'kordinat', 'biru', 'gerak', 'hp', 'gera', 'lalu', 'jalan', 'jelek', 'padahal', 'kalau', 'lewat', 'jalan', 'jelek', 'lebih', 'deket', 'jalur', 'semua', 'kemudi', 'suka', 'suka', 'takut', 'prank', 'jalan', 'jelek', 'nbjalan', 'jelek', 'jalan', 'bukan', 'aspal', 'sudahrusak', 'jalan', 'tanah', 'ancur', 'becek', 'banyak', 'batu', 'jalan', 'gak', 'rata', 'tahan']",versi baik belum pertahanankan bilang titik kordinat biru gerak hp gera lalu jalan jelek padahal kalau lewat jalan jelek lebih deket jalur semua kemudi suka suka takut prank jalan jelek nbjalan jelek jalan bukan aspal sudahrusak jalan tanah ancur becek banyak batu jalan gak rata tahan
Musakif Anadz,1,8/3/2024 18:44,akurasi titik biru di maps tidak pas dengan posisi hpburuk sekali sekarang,-6,NEGATIVE,akurasi titik biru maps pas posisi hpburuk sekali sekarang,akurasi titik biru maps pas posisi hpburuk sekali sekarang,"['akurasi', 'titik', 'biru', 'maps', 'pas', 'posisi', 'hpburuk', 'sekali', 'sekarang']",akurasi titik biru maps pas posisi hpburuk sekali sekarang
Laode Muhammad Rasyid,2,8/3/2024 17:50,untuk sementara waktu maps tidak dapat diandalkan di kota kendari dansekitarnya terutama ojol dansopir grabmaxim karena penunjuk jalannya tidak tepat atau tidak akurat mohon dilakukan perbaikan secepatnya,-11,NEGATIVE,waktu maps diandalkan kota kendari dansekitarnya terutama ojol dansopir grabmaxim penunjuk jalannya tepat akurat mohon dilakukan perbaikan secepatnya,waktu maps andal kota kendari dansekitarnya utama ojol dansopir grabmaxim tunjuk jalan tepat akurat mohon laku baik cepat,"['waktu', 'maps', 'andal', 'kota', 'kendari', 'dansekitarnya', 'utama', 'ojol', 'dansopir', 'grabmaxim', 'tunjuk', 'jalan', 'tepat', 'akurat', 'mohon', 'laku', 'baik', 'cepat']",waktu maps andal kota kendari dansekitarnya utama ojol dansopir grabmaxim tunjuk jalan tepat akurat mohon laku baik cepat
DIMAS BAGUS,3,8/3/2024 17:30,thaks gmaps saya sudah sering di bantu sebagai penunjuk arah banyak sekali pengalaman yang baik danjuga adayang lumanyan di kenang salah satunya nyasar ke kuburan,-15,NEGATIVE,thaks gmaps sering bantu penunjuk arah banyak sekali pengalaman baik danjuga adayang lumanyan kenang salah satunya nyasar kuburan,thaks gmaps sering bantu tunjuk arah banyak sekali alam baik danjuga adayang lumanyan kenang salah satu nyasar kubur,"['thaks', 'gmaps', 'sering', 'bantu', 'tunjuk', 'arah', 'banyak', 'sekali', 'alam', 'baik', 'danjuga', 'adayang', 'lumanyan', 'kenang', 'salah', 'satu', 'nyasar', 'kubur']",thaks gmaps sering bantu tunjuk arah banyak sekali alam baik danjuga adayang lumanyan kenang salah satu nyasar kubur
Kholid rohman saputro,1,8/3/2024 15:57,hbis update malah jdi berantakan rumah gue tau pindah posisi mlah jdi pinggir jalan besar yang dlunya runah gue bisa di liat dipetakan skrang tidak bisa parahhh,-19,NEGATIVE,hbis update malah jdi berantakan rumah gue tau pindah posisi mlah jdi pinggir jalan besar dlunya runah gue liat dipetakan skrang parahhh,hbis update malah jdi beranta rumah gue tau pindah posisi mlah jdi pinggir jalan besar dlunya runah gue liat peta skrang parahhh,"['hbis', 'update', 'malah', 'jdi', 'beranta', 'rumah', 'gue', 'tau', 'pindah', 'posisi', 'mlah', 'jdi', 'pinggir', 'jalan', 'besar', 'dlunya', 'runah', 'gue', 'liat', 'peta', 'skrang', 'parahhh']",hbis update malah jdi beranta rumah gue tau pindah posisi mlah jdi pinggir jalan besar dlunya runah gue liat peta skrang parahhh
