userName,score,at,content,polarity_score,sentiment,content_stopwords,tokenized_stemmed,cleaned_tokenized_stemmed
Dwifajar Agent property,1,8/5/2024 18:31,selalu ngasih rute yang berubah tidak sesuai dengan lokasi yang sebenarnya melenceng jauh menghabiskan bahan bakar montor aja,-24,NEGATIVE,selalu ngasih rute berubah sesuai lokasi sebenarnya melenceng jauh menghabiskan bahan bakar montor aja,"['ngasih', 'rute', 'ubah', 'sesuai', 'lokasi', 'lenceng', 'habis', 'bahan', 'bakar', 'montor', 'aja']",ngasih rute ubah sesuai lokasi lenceng habis bahan bakar montor aja
Yahya Abdau,1,8/5/2024 16:59,titik lompat lompat pencarian rute salah posisi jalan posisi titik  kemana mana atau putar muter,-12,NEGATIVE,titik lompat lompat pencarian rute salah posisi jalan posisi titik  mana putar muter,"['titik', 'lompat', 'lompat', 'cari', 'rute', 'salah', 'posisi', 'jalan', 'posisi', 'titik', 'putar', 'muter']",titik lompat lompat cari rute salah posisi jalan posisi titik putar muter
Assyifa Ramadhan,5,8/5/2024 16:21,menurut saya pengguna google maps sudah bagus tapi terkadang ada hal aneh tertangkap kamera,9,POSITIVE,saya pengguna google maps bagus terkadang hal aneh tertangkap kamera,"['guna', 'google', 'maps', 'bagus', 'terkadang', 'aneh', 'tangkap', 'kamera']",guna google maps bagus terkadang aneh tangkap kamera
dewa sulawesi,1,8/5/2024 13:55,maps sekarang sudah tidak akurat memberi petunjuk jalan sebagai seorang pengemudi taxi online saya sangat dirugikan,-12,NEGATIVE,maps sekarang tidak akurat memberi petunjuk jalan seorang pengemudi taxi online sangat dirugikan,"['maps', 'akurat', 'tunjuk', 'jalan', 'kemudi', 'taxi', 'online', 'rugi']",maps akurat tunjuk jalan kemudi taxi online rugi
Giansyah Ugi,2,8/5/2024 13:51,sering eror rute sering di putar titik tujuan udah depan mata tetapi malah di rubah rute ke yang lebih jauh,-15,NEGATIVE,sering eror rute sering putar titik tujuan udah depan mata malah rubah rute yang lebih jauh,"['eror', 'rute', 'putar', 'titik', 'tuju', 'udah', 'mata', 'rubah', 'rute']",eror rute putar titik tuju udah mata rubah rute
titin yusuf,5,8/5/2024 13:06,google maps banyak membantu kalau bisa biar tambah akurat dalam segala perjalanan dan lokasinya,3,POSITIVE,google maps banyak membantu kalau biar tambah akurat segala perjalanan lokasinya,"['google', 'maps', 'bantu', 'biar', 'akurat', 'jalan', 'lokasi']",google maps bantu biar akurat jalan lokasi
Ahmad Alfian,1,8/5/2024 5:14,sering kehilangan sinyal sering tidak valid kecepatan gak terdeteksi,1,POSITIVE,sering kehilangan sinyal sering valid kecepatan gak terdeteksi,"['hilang', 'sinyal', 'valid', 'cepat', 'gak', 'deteksi']",hilang sinyal valid cepat gak deteksi
I.F.D. Youbosque,4,8/4/2024 23:33,masih banyak yang harus di perbaharui terutama rute cepat masih sangat tidak sesuai masih sering di arahkan tidak sesuai nomor plat pada tanggal tersebut semoga ke depan lebih baik lgi,-15,NEGATIVE,banyak harus perbaharui terutama rute cepat sangat sesuai sering arahkan sesuai nomor plat tanggal tersebut semoga depan lebih baik lgi,"['baharu', 'rute', 'cepat', 'sesuai', 'arah', 'sesuai', 'nomor', 'plat', 'tanggal', 'moga', 'lgi']",baharu rute cepat sesuai arah sesuai nomor plat tanggal moga lgi
Agus Suryonegoro III - é˜¿å¤æ–¯Â·è‹çº¦è¯º,5,8/4/2024 22:32,pilihan opsi hindari jalan kecil dan hindari jalan pemukiman mengapa tidak ada ya tidak muncul di tampilan setting google map mohon petunjuk,-4,NEGATIVE,pilihan opsi hindari jalan kecil hindari jalan pemukiman ya tidak muncul tampilan setting google map mohon petunjuk,"['pilih', 'opsi', 'hindar', 'jalan', 'hindar', 'jalan', 'mukim', 'ya', 'muncul', 'tampil', 'setting', 'google', 'map', 'mohon', 'tunjuk']",pilih opsi hindar jalan hindar jalan mukim ya muncul tampil setting google map mohon tunjuk
Fauzi Mahardhika,5,8/4/2024 19:45,aplikasi navigasi dari google ini memang sangat membantu pengguna untuk menemukan jalan jalan di indonesia semoga akan terus dikembangkan agar pemakaian dan akurasinya semakin baik semangat untuk developer gmaps untuk terus berkembang kedepannya,3,POSITIVE,aplikasi navigasi google memang sangat membantu pengguna menemukan jalan jalan indonesia semoga terus dikembangkan pemakaian akurasinya semakin baik semangat developer gmaps terus berkembang kedepannya,"['aplikasi', 'navigasi', 'google', 'bantu', 'guna', 'temu', 'jalan', 'jalan', 'indonesia', 'moga', 'kembang', 'pakai', 'akurasi', 'semangat', 'developer', 'gmaps', 'kembang', 'depan']",aplikasi navigasi google bantu guna temu jalan jalan indonesia moga kembang pakai akurasi semangat developer gmaps kembang depan
hendra susanto,2,8/4/2024 18:48,kenapa gerakin maps  jadi panah bukan garis biru seperti dahulu jadi lama gerakinya bukan lebih baik malah lebih buruk parah,-21,NEGATIVE,gerakin maps  jadi panah bukan garis biru dahulu jadi lama gerakinya bukan lebih baik malah lebih buruk parah,"['gerakin', 'maps', 'panah', 'garis', 'biru', 'gerak', 'buruk', 'parah']",gerakin maps panah garis biru gerak buruk parah
Andi Tobing,5,8/4/2024 18:47,paling enak rasa original rasa iga bakarnya berani dan lembut di mulut wajib nyoba untuk yang di bintaro dan sekitarnya,-11,NEGATIVE,paling enak rasa original rasa iga bakarnya berani lembut mulut wajib nyoba yang bintaro sekitarnya,"['enak', 'original', 'iga', 'bakar', 'berani', 'lembut', 'mulut', 'wajib', 'nyoba', 'bintaro']",enak original iga bakar berani lembut mulut wajib nyoba bintaro
Sakim Sakim,5,8/4/2024 18:45,sangatmembantu menemukan menunjukan suatu lokasi tempat yang akuratpertahankan terus dan bisa lebih baik lagi dan lagi,-9,NEGATIVE,sangatmembantu menemukan menunjukan suatu lokasi tempat akuratpertahankan terus bisa lebih baik dan,"['sangatmembantu', 'temu', 'tunjuk', 'lokasi', 'akuratpertahankan']",sangatmembantu temu tunjuk lokasi akuratpertahankan
Heriyanto Fadillah,5,8/4/2024 17:47,lebih mudah dan cepat mencari tempatalamat,1,POSITIVE,lebih mudah cepat mencari tempatalamat,"['mudah', 'cepat', 'cari', 'tempatalamat']",mudah cepat cari tempatalamat
Asgar Ryoghie,1,8/4/2024 16:34,setelah updat jadi tolollldisasarin berapa kali sudah begitu tidak mau jalan berhenti ditmp navigasinya jalan sudah kemana navigasi masih menjedog,-2,NEGATIVE,updat jadi tolollldisasarin berapa kali begitu mau jalan berhenti ditmp navigasinya jalan kemana navigasi menjedog,"['updat', 'tolollldisasarin', 'kali', 'jalan', 'henti', 'ditmp', 'navigasi', 'jalan', 'mana', 'navigasi', 'menjedog']",updat tolollldisasarin kali jalan henti ditmp navigasi jalan mana navigasi menjedog
irna kencana,3,8/4/2024 15:52,makin parah saja google map ada jarak yang lebih dekat malah dipake yang jauh perbaikilah kalau sudah benar baru kasih bintang,-22,NEGATIVE,makin parah google map jarak lebih dekat malah dipake jauh perbaikilah kalau benar baru kasih bintang,"['parah', 'google', 'map', 'jarak', 'dipake', 'baik', 'kasih', 'bintang']",parah google map jarak dipake baik kasih bintang
Niang ayu rohma Dhini,2,8/4/2024 13:53,hallo min kenapa sekrang liminasanya tidak seperti biasanya biasanya bisa di pakai beberapa telepon tetapi sekrang tidak bisa cuma telepon  saja yang connec,-18,NEGATIVE,hallo min sekrang liminasanya seperti biasanya biasanya di pakai beberapa telepon sekrang bisa cuma telepon  yang connec,"['hallo', 'min', 'sekrang', 'liminasanya', 'pakai', 'telepon', 'sekrang', 'telepon', 'connec']",hallo min sekrang liminasanya pakai telepon sekrang telepon connec
Ari Purnawan,5,8/4/2024 13:10,mohon ditambahkan opsi rute hindari jalan kecil dan hindari jalan tanjakan tinggi,-4,NEGATIVE,mohon ditambahkan opsi rute hindari jalan kecil hindari jalan tanjakan tinggi,"['mohon', 'opsi', 'rute', 'hindar', 'jalan', 'hindar', 'jalan', 'tanjak']",mohon opsi rute hindar jalan hindar jalan tanjak
Alfarizie Mr,4,8/4/2024 12:58,rute untuk sepeda motor mengapa sering hilangtidak muncul dalam pilihan ya dengan clear data bisa muncul lagi tapi kadang juga gak muncul bagaimanayah,4,POSITIVE,rute sepeda motor sering hilangtidak muncul pilihan dengan clear data muncul tapi kadang gak muncul bagaimanayah,"['rute', 'sepeda', 'motor', 'hilangtidak', 'muncul', 'pilih', 'clear', 'data', 'muncul', 'kadang', 'gak', 'muncul', 'bagaimanayah']",rute sepeda motor hilangtidak muncul pilih clear data muncul kadang gak muncul bagaimanayah
Kimin Go,1,8/4/2024 11:44,kecewa banget sama google map nihorang udah kelewat baru bilang belok kiri padahal sinyal aman aman saja jalan ikon  juga patah patah terus padahal sinyall buat apa saja stabil,-9,NEGATIVE,kecewa banget sama google map nihorang udah kelewat baru bilang belok kiri padahal sinyal aman aman jalan ikon  patah patah terus padahal sinyall buat apa stabil,"['kecewa', 'banget', 'google', 'map', 'nihorang', 'udah', 'lewat', 'bilang', 'belok', 'kiri', 'sinyal', 'aman', 'aman', 'jalan', 'ikon', 'patah', 'patah', 'sinyall', 'stabil']",kecewa banget google map nihorang udah lewat bilang belok kiri sinyal aman aman jalan ikon patah patah sinyall stabil
Isal Bae,5,8/4/2024 8:02,aplikasinya sangat membantu bagi yang di tidak tau arah jalan yang kita tujuh aplikasi bagus banget tanpa ada iklan dan mudah di pahami,-20,NEGATIVE,aplikasinya sangat membantu tidak tau arah jalan yang kita tujuh aplikasi bagus banget ada iklan mudah pahami,"['aplikasi', 'bantu', 'tau', 'arah', 'jalan', 'tujuh', 'aplikasi', 'bagus', 'banget', 'iklan', 'mudah', 'paham']",aplikasi bantu tau arah jalan tujuh aplikasi bagus banget iklan mudah paham
Christian eben haezer Tobing,1,8/4/2024 7:03,google linimasa terlalu banyak eror masa jalan  lurus aja,-2,NEGATIVE,google linimasa terlalu banyak eror masa jalan  lurus aja,"['google', 'linimasa', 'eror', 'jalan', 'lurus', 'aja']",google linimasa eror jalan lurus aja
Aviv Rahman,1,8/4/2024 6:59,lama aplikasinya bapukmaps  tidak pernah mau jalanpdahal jaringan bagus,-4,NEGATIVE,lama aplikasinya bapukmaps  pernah mau jalanpdahal jaringan bagus,"['aplikasi', 'bapukmaps', 'jalanpdahal', 'jaring', 'bagus']",aplikasi bapukmaps jalanpdahal jaring bagus
Adelia Eka,5,8/4/2024 6:14,google maps navigasi yang sempurna untuk mencari titik lokasi dengan tepat,-11,NEGATIVE,google maps navigasi sempurna mencari titik lokasi tepat,"['google', 'maps', 'navigasi', 'sempurna', 'cari', 'titik', 'lokasi']",google maps navigasi sempurna cari titik lokasi
Kojingwan Robert,2,8/4/2024 4:50,saya beri  karena maps sama yang asli di lapangan beda semua pertama dinas ketenagakerjaaan seharusnya jembatan dan jalannya itu ke dinas ketenagakerjaan jadi satu yang di maps jalan sendiri lokasi dinas ketenagakerjaan sendiri jadi terpisah kedua sebelum alfamart seharusnya itu indomaret di maaps counter jne ketiga es serut legend sudah tidak jualan lagi ini di maaps masih ada dan letaknya di rumah warga ke empat sd n  purwokerto itu yang asli tepatnya depan jalan mangga  di maaps beda,-39,NEGATIVE,beri  maps sama asli lapangan beda semua pertama dinas ketenagakerjaaan jembatan jalannya dinas ketenagakerjaan jadi satu maps jalan sendiri lokasi dinas ketenagakerjaan sendiri jadi terpisah kedua alfamart indomaret maaps counter jne ketiga es serut legend tidak jualan ini maaps ada letaknya rumah warga ke empat sd n  purwokerto itu yang asli tepatnya depan jalan mangga  di maaps beda,"['maps', 'asli', 'lapang', 'beda', 'dinas', 'ketenagakerjaaan', 'jembatan', 'jalan', 'dinas', 'ketenagakerjaan', 'maps', 'jalan', 'lokasi', 'dinas', 'ketenagakerjaan', 'pisah', 'alfamart', 'indomaret', 'maaps', 'counter', 'jne', 'tiga', 'es', 'serut', 'legend', 'jual', 'maaps', 'letak', 'rumah', 'warga', 'sd', 'n', 'purwokerto', 'asli', 'tepat', 'jalan', 'mangga', 'maaps', 'beda']",maps asli lapang beda dinas ketenagakerjaaan jembatan jalan dinas ketenagakerjaan maps jalan lokasi dinas ketenagakerjaan pisah alfamart indomaret maaps counter jne tiga es serut legend jual maaps letak rumah warga sd n purwokerto asli tepat jalan mangga maaps beda
akif irawan,1,8/4/2024 1:24,di phone saya tidak ada opsi hindari jalan perkampungan atau hindari jalan kecil atau hindari jalan sepeda motor tidak seperti bersi lama yang lengkap,-26,NEGATIVE,phone opsi hindari jalan perkampungan hindari jalan kecil hindari jalan sepeda motor tidak seperti bersi lama lengkap,"['phone', 'opsi', 'hindar', 'jalan', 'kampung', 'hindar', 'jalan', 'hindar', 'jalan', 'sepeda', 'motor', 'bersi', 'lengkap']",phone opsi hindar jalan kampung hindar jalan hindar jalan sepeda motor bersi lengkap
Niitha Lestari,1,8/3/2024 22:14,akhir ini ntah kenapa maps jadi eror kita  udah jalan tetapi maps stuck dititik awal dan tanpa ada kejelasan berapa kecepetan kita dan selalu ada notif sinyal navigasi hilang dan menelusuri navigasi alhasil pk cara lama harus dipratinjau dulu atau nanya orang sekitar malah semakin sulit semakin lama malah semakin putar gak jelas,-10,NEGATIVE,akhir ntah maps jadi eror  udah jalan maps stuck dititik awal tanpa kejelasan berapa kecepetan selalu notif sinyal navigasi hilang dan menelusuri navigasi alhasil pk cara lama dipratinjau dulu nanya orang malah semakin sulit semakin lama malah semakin putar gak jelas,"['ntah', 'maps', 'eror', 'udah', 'jalan', 'maps', 'stuck', 'titik', 'jelas', 'kecepetan', 'notif', 'sinyal', 'navigasi', 'hilang', 'telusur', 'navigasi', 'alhasil', 'pk', 'pratinjau', 'nanya', 'orang', 'sulit', 'putar', 'gak']",ntah maps eror udah jalan maps stuck titik jelas kecepetan notif sinyal navigasi hilang telusur navigasi alhasil pk pratinjau nanya orang sulit putar gak
novel enam,1,8/3/2024 22:06,saya kerja menggunakan map dan sekarang buruk tolong diperbaiki versi yqng baru ini,-5,NEGATIVE,kerja menggunakan map sekarang buruk diperbaiki versi yqng baru,"['kerja', 'map', 'buruk', 'baik', 'versi', 'yqng']",kerja map buruk baik versi yqng
Pengamen jalanan,5,8/3/2024 21:50,adalah versi terbaik dari yang sebelum belumnya pertahanankan kenapa bisa di bilang begitu titik kordinat biru bergerak ketika telepon di gerakan tidak melalui jalan yang jelek padahal kalau lewat jalan yang jelek lebih deket jalurnya tidak semua pengemudi menyukai ini tapi saya suka karena takut di prank lagi dengan jalan yang jelek nbjalan jelek itu jalan bukan yang di aspal udah rusak tapi jalan tanah yang hancur yang becek banyak batu jalan gak rata pertahankan ya,-77,NEGATIVE,versi terbaik belumnya pertahanankan bisa bilang titik kordinat biru bergerak telepon gerakan melalui jalan jelek padahal kalau lewat jalan jelek lebih deket jalurnya semua pengemudi menyukai suka takut prank dengan jalan jelek nbjalan jelek jalan bukan di aspal udah rusak tapi jalan tanah hancur yang becek banyak batu jalan gak rata pertahankan,"['versi', 'baik', 'belum', 'pertahanankan', 'bilang', 'titik', 'kordinat', 'biru', 'gerak', 'telepon', 'gera', 'jalan', 'jelek', 'jalan', 'jelek', 'deket', 'jalur', 'kemudi', 'suka', 'suka', 'takut', 'prank', 'jalan', 'jelek', 'nbjalan', 'jelek', 'jalan', 'aspal', 'udah', 'rusak', 'jalan', 'tanah', 'hancur', 'becek', 'batu', 'jalan', 'gak', 'tahan']",versi baik belum pertahanankan bilang titik kordinat biru gerak telepon gera jalan jelek jalan jelek deket jalur kemudi suka suka takut prank jalan jelek nbjalan jelek jalan aspal udah rusak jalan tanah hancur becek batu jalan gak tahan
alex antosontoloyo,1,8/3/2024 19:12,titik berubah abu abu dan kalau biru nevigasi gak jalan tolong di perbaiki,-1,NEGATIVE,titik berubah abu abu kalau biru nevigasi gak jalan di perbaiki,"['titik', 'ubah', 'abu', 'abu', 'biru', 'nevigasi', 'gak', 'jalan', 'baik']",titik ubah abu abu biru nevigasi gak jalan baik
Musakif Anadz,1,8/3/2024 18:44,akurasi titik biru di maps tidak pas dengan posisi hpburuk sekali sekarang,-6,NEGATIVE,akurasi titik biru maps pas posisi hpburuk sekali sekarang,"['akurasi', 'titik', 'biru', 'maps', 'pas', 'posisi', 'hpburuk']",akurasi titik biru maps pas posisi hpburuk
Laode Muhammad Rasyid,2,8/3/2024 17:50,untuk sementara waktu maps tidak dapat diandalkan di kota kendari dan sekitarnya terutama ojol dan sopir grabmaxim karena penunjuk jalannya tidak tepat atau tidak akurat mohon dilakukan perbaikan secepatnya,-11,NEGATIVE,sementara waktu maps dapat diandalkan kota kendari sekitarnya terutama ojol sopir grabmaxim penunjuk jalannya tepat tidak akurat mohon dilakukan perbaikan secepatnya,"['maps', 'andal', 'kota', 'kendari', 'ojol', 'sopir', 'grabmaxim', 'tunjuk', 'jalan', 'akurat', 'mohon', 'baik', 'cepat']",maps andal kota kendari ojol sopir grabmaxim tunjuk jalan akurat mohon baik cepat
DIMAS BAGUS,3,8/3/2024 17:30,thaks gmaps saya sudah sering di bantu sebagai penunjuk arah banyak sekali pengalaman yang baik dan juga ada yang lumanyan di kenang salah satunya nyasar ke kuburan,-19,NEGATIVE,thaks gmaps sudah sering bantu penunjuk arah banyak sekali pengalaman baik juga yang lumanyan kenang salah satunya nyasar kuburan,"['thaks', 'gmaps', 'bantu', 'tunjuk', 'arah', 'alam', 'lumanyan', 'kenang', 'salah', 'satu', 'nyasar', 'kubur']",thaks gmaps bantu tunjuk arah alam lumanyan kenang salah satu nyasar kubur
Kholid rohman saputro,1,8/3/2024 15:57,hbis update malah jadi berantakan rumah saya tau pindah posisi malah jadi pinggir jalan besar yang dlunya runah saya bisa di lihat dipetakan sekarang tidak bisa parahhh,-25,NEGATIVE,hbis update malah jadi berantakan rumah tau pindah posisi malah jadi pinggir jalan besar dlunya runah bisa lihat dipetakan sekarang bisa parahhh,"['hbis', 'update', 'beranta', 'rumah', 'tau', 'pindah', 'posisi', 'pinggir', 'jalan', 'dlunya', 'runah', 'lihat', 'peta', 'parahhh']",hbis update beranta rumah tau pindah posisi pinggir jalan dlunya runah lihat peta parahhh
M. Nur,3,8/3/2024 15:43,pengalaman pribadi baru saya alami lokasi yang sudah hampir sampai menit lagisetelah mau sampai tiba tujuan berubah jadi menit lagiapa kita wajib putar lagi sampai bensin kita habis baru sampai,-18,NEGATIVE,pengalaman pribadi baru alami lokasi sudah hampir menit lagisetelah mau tiba tujuan berubah jadi menit lagiapa wajib putar bensin habis baru sampai,"['alam', 'pribadi', 'alami', 'lokasi', 'menit', 'lagisetelah', 'tuju', 'ubah', 'menit', 'lagiapa', 'wajib', 'putar', 'bensin', 'habis']",alam pribadi alami lokasi menit lagisetelah tuju ubah menit lagiapa wajib putar bensin habis
Dedi Putra Sinurat,1,8/3/2024 15:17,google maps memang gak jelas kesel saya sama google maps ini tidak akurat dan tidak jelas,-17,NEGATIVE,google maps memang gak jelas kesel sama google maps tidak akurat tidak jelas,"['google', 'maps', 'gak', 'kesel', 'google', 'maps', 'akurat']",google maps gak kesel google maps akurat
Hunan milliane Pambudi,3,8/3/2024 13:32,mungkin perlu diperbarui ketepatannya sudah sampai dilokasi tetapi t belum muncul di linimasa maps,-2,NEGATIVE,mungkin perlu diperbarui ketepatannya sampai dilokasi t muncul linimasa maps,"['baru', 'tepat', 'lokasi', 't', 'muncul', 'linimasa', 'maps']",baru tepat lokasi t muncul linimasa maps
Kam Zhays Official,4,8/3/2024 11:28,cukup membantu memandu perjalanan tapi masih juga lambat jika berputar arah atau putar balik jadi bingung di persimpangan,-8,NEGATIVE,cukup membantu memandu perjalanan masih lambat berputar arah putar balik jadi bingung persimpangan,"['bantu', 'pandu', 'jalan', 'lambat', 'putar', 'arah', 'putar', 'bingung', 'simpang']",bantu pandu jalan lambat putar arah putar bingung simpang
Khoerul Ikhwan,2,8/3/2024 7:17,dear developerkenapa rute motor di maps hilangtolong di tambahkan lagi rute sepeda motor nyapakai rute mobil malah di arahkan ke rute yang lebih jauh,-16,NEGATIVE,dear developerkenapa rute motor maps hilangtolong tambahkan rute sepeda motor nyapakai rute mobil malah arahkan rute lebih jauh,"['dear', 'developerkenapa', 'rute', 'motor', 'maps', 'hilangtolong', 'tambah', 'rute', 'sepeda', 'motor', 'nyapakai', 'rute', 'mobil', 'arah', 'rute']",dear developerkenapa rute motor maps hilangtolong tambah rute sepeda motor nyapakai rute mobil arah rute
Fany Mohammad,1,8/2/2024 22:54,kurang uptodate yang menyebabkan tidak akurat dan pengguna sering tersesat di jalan titik kordinat banyak tidak sesuai dengan lapangan,-11,NEGATIVE,kurang uptodate menyebabkan akurat pengguna sering tersesat jalan titik kordinat banyak sesuai lapangan,"['uptodate', 'sebab', 'akurat', 'guna', 'sesat', 'jalan', 'titik', 'kordinat', 'sesuai', 'lapang']",uptodate sebab akurat guna sesat jalan titik kordinat sesuai lapang
imou hajir,5,8/2/2024 21:58,bagus lokasinya akurat sesuai aslinya rutenya juga tepat dan pas,8,POSITIVE,bagus lokasinya akurat sesuai aslinya rutenya tepat pas,"['bagus', 'lokasi', 'akurat', 'sesuai', 'asli', 'rute', 'pas']",bagus lokasi akurat sesuai asli rute pas
Rani Arta Ningrum,2,8/2/2024 18:41,buka maps malah njengkelin mau nyari tempat susah mau pencet rute malah keluar sendiri apknya pencet mulai juga sama udah diijinkan semua di info aplikasi udah di update tetep sama saja pihak admin gimana sih kadang mau sharelock titik  beda jauh kecewa berat,-20,NEGATIVE,buka maps malah njengkelin mau nyari tempat susah mau pencet rute malah keluar sendiri apknya pencet mulai sama udah diijinkan semua info aplikasi udah update tetep sama pihak admin gimana sih kadang mau sharelock titik  beda jauh kecewa berat,"['buka', 'maps', 'njengkelin', 'nyari', 'susah', 'pencet', 'rute', 'apknya', 'pencet', 'udah', 'diijinkan', 'info', 'aplikasi', 'udah', 'update', 'tetep', 'admin', 'gimana', 'sih', 'kadang', 'sharelock', 'titik', 'beda', 'kecewa', 'berat']",buka maps njengkelin nyari susah pencet rute apknya pencet udah diijinkan info aplikasi udah update tetep admin gimana sih kadang sharelock titik beda kecewa berat
Habibur Rahim,5,8/2/2024 18:01,aplikasi yang mudah di gunakan dan di pahami sangan membantu sekali,-4,NEGATIVE,aplikasi mudah gunakan di pahami sangan membantu sekali,"['aplikasi', 'mudah', 'paham', 'sangan', 'bantu']",aplikasi mudah paham sangan bantu
Reki Oktapriadi,5,8/2/2024 17:32,saya mengelola bisnis tapi saya susah mengatur titik lokasi bisnis saya sesuai tempat tolong di bantu,-9,NEGATIVE,mengelola bisnis susah mengatur titik lokasi bisnis saya sesuai tempat di bantu,"['kelola', 'bisnis', 'susah', 'atur', 'titik', 'lokasi', 'bisnis', 'sesuai', 'bantu']",kelola bisnis susah atur titik lokasi bisnis sesuai bantu
Ricky Remc,5,8/2/2024 17:18,saya berharap ada tambahan fitur tanjakan curam untuk menghindari jalan tersebut jalan extreme minimal dikasih tau sebelumnya dimana letak jalan extreme  trimakasih,3,POSITIVE,berharap tambahan fitur tanjakan curam menghindari jalan tersebut jalan extreme minimal dikasih tau sebelumnya letak jalan extreme  trimakasih,"['harap', 'tambah', 'fitur', 'tanjak', 'curam', 'hindar', 'jalan', 'jalan', 'extreme', 'minimal', 'kasih', 'tau', 'letak', 'jalan', 'extreme', 'trimakasih']",harap tambah fitur tanjak curam hindar jalan jalan extreme minimal kasih tau letak jalan extreme trimakasih
Muhammad Abdul Karim,1,8/2/2024 17:02,saya cek posisi saya sangat tidak akurat masak jarak saya di map berjarak  km tolong perbaiki,-23,NEGATIVE,cek posisi sangat akurat masak jarak di map berjarak  km perbaiki,"['cek', 'posisi', 'akurat', 'masak', 'jarak', 'map', 'jarak', 'km', 'baik']",cek posisi akurat masak jarak map jarak km baik
