userName,score,at,content
Kojingwan Robert,2,8/4/2024 4:50,Saya beri 2 karena maps sama yang asli di lapangan beda semua. Pertama dinas ketenagakerjaaan seharusnya jembatan dan jalannya itu ke dinas ketenagakerjaan jadi satu yang di maps jalan sendiri lokasi dinas ketenagakerjaan sendiri jdi terpisah. Kedua sebelum alfamart seharusnya itu indomaret di maaps counter JNE. Ketiga es serut legend sudah tidak jualan lagi ini di maaps masih ada dan letaknya di rumah warga. Ke empat SD N 2 Purwokerto itu yang asli tepatnya depan JL. Mangga 1 di maaps beda.
akif irawan,1,8/4/2024 1:24,"di phone saya tidak ada opsi hindari jalan perkampungan atau hindari jalan kecil, atau hindari jalan sepeda motor. tidak seperti bersi lama yg lengkap"
Niitha Lestari,1,8/3/2024 22:14,"Akhir2 ini ntah kenapa maps jadi eror. Kita nya udah jalan tp maps stuck dititik awal dan tanpa ada kejelasan brp kecepetan kita. Dan selalu ada notif ""sinyal gps hilang dan menelusuri gps"". Alhasil pk cara lama harus dipratinjau dulu atau nanya org2 sekitar. Malah makin ribet makin lama malah makin muter2 gak jelas."
novel enam,1,8/3/2024 22:06,"saya kerja menggunakan map , dan sekarang buruk. tolong diperbaiki versi yqng baru ini"
Pengamen jalanan,5,8/3/2024 21:50,"11.139.0200 adalah versi terbaik dari yang sebelum belumnya, pertahanankan. Kenapa bisa di bilang begitu? 1.titik kordinat biru bergerak ketika hp di gerakan. 2.tidak melalui jalan yang jelek padahal kalo lewat jalan yg jelek lebih Deket jalurnya. (Tidak semua pengemudi menyukai ini) Tapi saya suka karena takut di prank lagi dengan jalan yg jelek. Nb.jalan jelek itu jalan bukan yg di aspal udah rusak, tapi jalan tanah yg ancur yg becek banyak batu jalan gak rata. 3.pertahankan ya"
alex antosontoloyo,1,8/3/2024 19:12,Titik berubah abu abu dan klau biru nevigasi gak jln tolong di perbaiki
Musakif Anadz,1,8/3/2024 18:44,"Akurasi titik biru di maps tidak pas dengan posisi hp,buruk sekali sekarang"
Laode Muhammad Rasyid,2,8/3/2024 17:50,Untuk sementara waktu maps tidak dapat diandalkan di Kota Kendari dan sekitarnya terutama ojol dan sopir grab/maxim karena penunjuk jalannya tidak tepat atau tidak akurat. Mohon dilakukan perbaikan secepatnya.
DIMAS BAGUS,3,8/3/2024 17:30,Thaks Gmaps saya sudah sering di bantu sebagai penunjuk arah banyak sekali pengalaman yang baik dan juga ada yang lumanyan di kenang salah satunya nyasar ke kuburanðŸ˜‚ðŸ˜‚ðŸ˜‚
Kholid rohman saputro,1,8/3/2024 15:57,"hbis update malah jdi berantakan. rumah gue tauÂ² pindah posisi, mlah jdi pinggir jalan besar, yg dlunya runah gue bisa di liat & dipetakan, skrang gk bisa. parahhh"
M. Nur,3,8/3/2024 15:43,"Pengalaman Pribadi baru saya alami lokasi yang sudah hampir sampai 7menit lagi,setelah mau sampai tiba2 tujuan berubah jadi 28menit lagi,apa kita wajib muter2 lagi sampai bensin kita habis baru sampai"
Dedi Putra Sinurat,1,8/3/2024 15:17,"Google Maps memang gak jelas,, kesel gua sama google Maps ini, ngk akurat dan ngk jelas!!!!!"
Hunan milliane Pambudi,3,8/3/2024 13:32,Mungkin perlu diperbarui ketepatannya... Sudah sampai dilokasi tp t4 blm muncul di linimasa maps nya
Kam Zhays Official,4,8/3/2024 11:28,Cukup membantu memandu perjalanan tapi masih juga lelet jika berputar arah atau putar balik jadi bingung di persimpangan
Khoerul Ikhwan,2,8/3/2024 7:17,"Dear developer,kenapa rute motor di maps hilang,tolong di tambahkan lagi rute sepeda motor nya,pakai rute mobil malah di arahkan ke rute yang lebih jauh"
Fany Mohammad,1,8/2/2024 22:54,"kurang uptodate, yang menyebabkan tidak akurat dan pengguna sering tersesat di jalan. Titik Kordinat banyak tidak sesuai dengan lapangan."
imou hajir,5,8/2/2024 21:58,"Bagus Lokasinya akurat, sesuai Aslinya, rutenya juga tepat dan pas ."
Rani Arta Ningrum,2,8/2/2024 18:41,"Buka maps malah njengkelin, mau nyari tempat susah. Mau pencet rute malah keluar sendiri apknya, pencet mulai juga sama! Udah diijinkan semua di info apk, udah di update tetep sama aja. Pihak admin gimana sih? Kadang mau sharelock titik nya beda jauh. Kecewa berat"
Habibur Rahim,5,8/2/2024 18:01,"aplikasi yang mudah di gunakan dan di pahami, sangan membantu sekali"
Reki Oktapriadi,5,8/2/2024 17:32,"Saya mengelola bisnis,,, tapi saya susah mengatur titik lokasi bisnis saya sesuai tempat. Tolong di bantu."
Ricky Remc,5,8/2/2024 17:18,"Saya berharap ada tambahan fitur tanjakan curam untuk menghindari jalan tersebut, jalan extreme, minimal dikasih tau sebelumnya dmn letak jalan extreme nya.. Trimakasih ðŸ™"
Muhammad Abdul Karim,1,8/2/2024 17:02,"Saya cek posisi saya sangat tidak akurat, masak jarak saya di map berjarak 500 km, tolong perbaiki."
calon editor,5,8/2/2024 16:05,Membantu cuma kenapa gps ku kaya orang pikun tiba tiba berubah arah terus suruh belok kanan lah kiri lah suruh puter balik lah padahal jalan cuma satu lurus saja nggak ada belokanðŸ˜†ðŸ˜†ðŸ˜†
Saka Maulana,1,8/2/2024 11:25,Setelah update Tiba2 google maps di hp saya gak jalan..padahal biasanya normal
Lukas Teguh Santoso,5,8/2/2024 10:39,Tolong dong buat google maps... Tambahkan jalur untuk mobil golongan 2 seperti truk...
RAHMAT DANI,5,8/2/2024 8:50,Cukup memuaskan minat saya. Dan selebihnya lebih ditambahkan atau ditingkatkan fitur-fiturnya. TerimaKasihðŸ˜
Sopo Jarwo (Gosh Bird),1,8/2/2024 5:20,"Kapan bisa rubah suara sendiri (pribadi) pada navigasi, seperti di waze. Bosan dengar suara system terus. Lebih maju dong"
Mugi yati,5,8/1/2024 20:40,fitur nya makin bgus di aplikasi gogle maps nya sekarang udh di updete jdi makin bgus
selsabitta fjreriana,5,8/1/2024 19:39,"aplikasi yang sangat mempermudah perjalanan dimanapun kapanpun, gak khawatir lagi untuk tersesat best bgt ðŸ˜ŠðŸ˜ŠðŸ‘ðŸ‘ðŸ‘"
AdiLovei PutriAldiRasyid,4,8/1/2024 18:46,Aplikasi Google Maps Setelah Di UpDate Kinerjanya Seperti nya Kurang Cepat Respon Gak Seperti Biasanya... Tolong Dong Pihak Terkait Untuk Kebih Meringankan Aplikasi Saat Di Buka Dan Cepat Respon.. Thanks Untuk Google Maps.. Semoga Kedepannya Jadi Yang Terbaik Dari Yang Terbaik..
yeyen laros,5,8/1/2024 18:42,"Bisa gak sih membedakan jalan untuk kendaraan besar dan kendaraan kecil, saya sering di sasarin diarahkan ke jalan komplek, Pake mobil disamakan kayak naik motor suruh lewat gang kecil. Ngaco ah"
Rina Jayusman,4,8/1/2024 18:31,"Lokasi rumah kadang kurang akurat dan lokasi real time, tolong di optimalkan."
Ilmi Kzhra,5,8/1/2024 18:01,"Emm bagus ya tapi tolong perbaiki bugnya ya kan aku mau ketik di pencarian terus aku ketik ""majelis ngaji al-rahman"" malah gk ada tolong ya min perbaiki bugnya pliss"
boing tea1,1,8/1/2024 17:20,"nyusahin orang, dipilihnya jala sempit pedahal jalan lebar banyak, apk perlu banyak perbaikan! nyusahin!!!!"
Irfan Hermansyah,2,8/1/2024 16:13,"Ga mutu bangat apk maps bekerja sama pihak ojol bukan membaik malah dibikin rusak.. apk maps lebih dulu ada ktimbang apk ojol, tolong berdikari sendiri tunjukin kualitas yg baik untuk pengguna.. buatlah aturan sendiri sendiri jangan terpaku sama apk yg hanya bisanya menumpang.."
Muhammad Irwan Amirullah,5,8/1/2024 14:15,Dengan updatetan dan fitur bagus dan mudah di mengerti
Sugi Yana,5,8/1/2024 12:10,Kadang-kadang Google map juga error juga oleh karena itu mohon lebih banyak di-update kali ya
Edi Tariyus Cahyono,2,8/1/2024 7:29,"Mohon solusi di poco x6, saat di mulai navigasi, posisi GPS tidak akurat dan sering muncul notifikasi menelusuri GPS."
Ahmad Yulianto,5,8/1/2024 4:58,"Sip, dan untuk google areo dan google AdWords gagal login padahal jaringan masih kencang tapi gagal mohon bantuannya yaðŸ™ðŸ™ðŸ™"
Imam Suyono,1,8/1/2024 1:13,Map ini bikin nyasar udah malam malam di puter kaga jelas map map parah jarak tempuh makin jauh paraaahhh eror. Trus
Zaid alfathin,1,8/1/2024 0:24,sebagai pengguna biasa susah melaporkan kesalahan jalan contoh mobil seharusnya tidak bisa lewat tapi di maps mobil bisa lewat
rudy panasonic,2,7/31/2024 19:50,Payah engk akurat versi doang naik kualitas maps kurang maxsimal arah engk karuan suka muter2 kayak gasingan pokok ye engk bagus
Aldo Indrawan,5,7/31/2024 15:49,Aplikasi nya sangat bagus dapat membantu dalam perjalanan untuk menemukan suatu lokasi yang saya ingin kan.
Indra Wijaya,5,7/31/2024 14:06,Sangat membantu sekali apabila sedang dalam kebingung dalam perjalanan dan suka menjadi reminder apabila tersesat di jalan
Aris,4,7/31/2024 5:12,"histori di pengaturan sudah di hapus semua, namun di beranda penelusuran histori nyah masih ada tidak bisa ke hapus"
Irvanmuhammad muchtar,5,7/31/2024 1:27,Google Maps aplikasi navigasi yang luar biasa. Fitur pencarian lokasi yang akurat dan membuat perjalanan menjadi lebih mudah dan efisien. juga sangat menghargai fitur lalu lintas real-time yang membantu saya menghindari kemacetan.
Yoga Anugrahta,5,7/31/2024 0:12,"Sangat membantu saat perjalanan jauh, mantap gmaps!!"
Dede Feredy,1,7/31/2024 0:10,"Lokasi tidak update, rute perjalanan yg d lalui sering tidak muncul, sudah berada d suatu lokasi tidak update"
Nk cell,1,7/30/2024 22:17,Versi terbaru navigasi tidak akurat tanda panah tidak berjalan
Yanto/ /otnaY,5,7/30/2024 21:52,"Tolong masukan jenis kendaraan termasuk truk roda 6 dan seterusnya karena sering mobil besar mengikuti maps ternyata jalan kecil, terimakasih"
Abi Faiziy,5,7/30/2024 21:39,"Sangat efektif dan simple untuk menelusuri lalu lintas dan alamat tujuan. Lebih baik lagi jika tidak menekan tombol mulai, sehingga ketauan kalau kita keluar dari rute awal yang diarahkan"
Juvaweh (Juan Valdy Wehantouw),2,7/30/2024 20:26,"Sy mau ke daerah greenlake city,jakarta barat, dari arah jasinga bogor. Alamat yang dituju udah benar, Estimasi tiba uda bener, waktu tempuh 2jam36menit, Giliran motor udah jalan, Malah penunjuk arah maps ga jalan sama sekali, Maps STUCK ditempat. Alhasil saya nyasar. Yang tadinya cuma 2jam-an, berubah jadi 4jam-an nyari2 sendiri jalan menuju tujuan pake cara kuno, Baca plan arah jalan. Dan saya nulis ulasan ini, maps sy juga masih error. INI HARI KELIMA SETELAH KEJADIAN ITU, MOHON KEADILAN !"
nicky raditya,1,7/30/2024 19:46,"Di upadate malah semakin buruk,linimasa tidak bisa di lihat lagi di hp lain,sekarang kalau hp hilang,Ya Wassalam..gak bakal bisa di lacak lagi di lokasi terakhirnya.semoga kembali seperti dulu,"
Joko Budi Mulyono,1,7/30/2024 18:29,"Tolong mapsnya di perbaiki lagi, di hp mapsnya 1.selalu eror 2.maps gak akurat. 3.malah bagus versi yang lama mapsnya lancar jaya, sekarang parah.tolong dibpertahankan mapsnya biar kayak dlu.semakin kesini maps parah.terimakasih"
Bang Iful,1,7/30/2024 16:45,"Buruk!!! Rute motor tidak ada. Di instal ulang pun malah makin ngaco, setelan kendaraan cuma ada kendaraan listrik. Makin edan"
fajar ferdianto,2,7/30/2024 14:56,"Lw turunin laaah...km tidak jalan2 tersendat batre cukup koneksi stabil... tolong hilangkan bug nya,sudah di install ulang tetap demikian... TOLONG DI PERBAIKI LAGI! ..."
Siti Hasanah,3,7/30/2024 14:26,Semenjak diperbarui maps nya jd ga. Jelas bikin pusing driver mending maps nya yg dulu sekarang jelek parah
Muhamad Iqbal,5,7/30/2024 13:24,"membantu untuk menemukan sebuah tempat, dan menjadi lebih cepat sampai ketujuan"
Alliya Ferjihan,5,7/30/2024 12:56,"Semoga makin akurat dalan menentukan rute yang akan dituju, dan Mohon untuk update navigasi atau rute jika jalanan sedang ditutup."
Carles MVC,1,7/30/2024 12:45,"sering error lebih bagus versi lama,, sebagai driver online perlu maps yg akurat"
Yohanes Nuwa,2,7/30/2024 11:43,Anjink! kalo tempatnya udah tutup di maps harusnya di perbarui. Bukan tetap di post buka tapi ketika udah sampe malah udah bangkrut
Ini Ono,4,7/30/2024 8:24,"Hi GMaps, Untuk navigasinya, kenapa mengarah kebagian bawah dr tampilan HP? Yang enak kan ke atas HP (potrait). Harus d puter dua jari utk menavigasi. Bikin pusing tau..."
Andi Budiman,1,7/30/2024 0:27,Hasil versi terbaru makin ngaco titik tidak akurat yg seharusnya biru jadk abu. Mengecewakan
Ompy Nuban,1,7/29/2024 22:26,"Lambat dan terkadang menyesatkan, tidak susai titik dan tidak dapat menunjukan jalan yg terdekat"
Sigid Maryanto,5,7/29/2024 22:19,sangat membantu penunjuk arah sangat detail dengan lokasi puas sekali
Samsung Glx123,1,7/29/2024 21:36,Coco untuk di bagian kota saja klo udah masuk ke bagian perdesaan gk bisa di gunakan
Arist Bareno,1,7/29/2024 21:23,di hp saya akurasi kompasnya rendah tolong di tingkatkan supaya akurasi kompasnya tinggi
yosua sullivan,1,7/29/2024 21:10,Error mulu maps nya padahal sudah di update
Fitri Prayoga,1,7/29/2024 20:22,"Sekarang aplikasinya tidak bisa melacak lokasi, tidak akurat setelah diperbarui, lebih baik maps yang lama"
Reza Rubail,1,7/29/2024 18:53,Aneh tidak bisa gerak GK jalan gw jauh jauh jalan eh pas liat maps Ko titik gw masih di situ tolong lah perbaiki
Indra Lesmana01,5,7/29/2024 18:49,Tolong dong di perbaiki agar lebih tepat ke titik tujuan.. sangat sulit banget buat drever. Kadang2 lemot juga
AlfianBibah Bibah,5,7/29/2024 17:11,Terus membaik maps dan akurat soal.a saya sangat membutuhkan petunjuk peta
Tri Wahyu,3,7/29/2024 15:42,Kenapa sering terjadi tidak ada Navigasi untuk Sepeda Motor??? Kemana perginya navigasi motor??
ONE LOVE,5,7/29/2024 15:01,"Saran, kalo bisa di sediakan fitur pengingat / alarm saat mau melewati sebuah tempat dalam perjalanan. Misal saat jam pulang kantor mau ngambil barang di salah satu kantor expedisi jd pas pulang walaupun kita lupa tp mau lewat lokasi tersebut alarm pengingatnya bunyi untuk mengingatkan yg punya hp."
Sudiaman Nainggolan,3,7/29/2024 14:24,"Seringkali alami gangguan route. Padahal sy sbgi driver gocar. Hampir 1 bln, tapi di hp customer bagus."
Ribbi Novianti,5,7/29/2024 14:03,Saya beri bintang 5 Karena saya pas tersesat Saya mencari di Google maps ternyata saya salah jalan wow estetik sekali ya Oke deh terima kasih atas perhatiannya kami ucapkan terima kasih ðŸ™
Azwarwadi,5,7/29/2024 13:42,Syaa telah terbantu dengan aplikasi ini dan saya juga bisa akses jalan untuk bisa sampai ke tujuan dan aplikasi ini sanagt bermanfaat bagi saya dan juga sangat bagus untuk di pakai
Didi Sahidi,5,7/29/2024 12:41,Sangat membantu untuk kemana yang kita tuju dan sangat terimakasih atas ada yah google maps iniðŸ˜‡
Siska Sinaga,5,7/29/2024 12:18,Apk nya cepat saat di download dan sangat mudah untuk di pahami sehingga tidak lagi repot repot mencari tempat tujuan tinggal guna apk aj dan cari tempat tujuan nya
XI MM 3 Advent Boy Tampubolon,5,7/29/2024 12:09,Aplikasi goegle maps sangatlah bagus di karnakan bisa mempermudah masyarakat untuk menemukan jalan
Kam Nadhoya Zhay,5,7/29/2024 11:13,Bagus tapi akurasi perlu lebih ditingkatkan
wielly Lie (Wiellylie),1,7/29/2024 8:24,"Semakin di update malah semakin parah lokasinya tidak bisa akurat dan tepat, tolong untuk di hapuskan yang pakai fake GPS karna sangat mengganggu aktifitas kami sebagai driver."
Afada Nur Chaida,2,7/29/2024 7:31,"Dear Gmaps... Saya sudah memilih rute A namun malah arahkan ke rute B sehingga membuat kami terlambat dalam perjalananðŸ˜ memilih rute tercepat dan lancar namun diarahkan ke rute padat dan jauh, terimakasih ðŸ“Œ"
Ahmadbin syafiudin,1,7/29/2024 0:17,Titik biru maps selalu loncat.loncat ke arah yang salah tolong dari pihak Google maps di perbaiki lagi
Ridho Noerfauzi,1,7/28/2024 22:49,Minimnya fitur seperti tidak ada opsi avoid tol dan rute dengan menggunakan kendaraan motor
Asry_ Arima,4,7/28/2024 19:12,"Perbarui maps satelitnya, karna tempat saya di Sulawesi tenggara masih terlihat seperti hutan padahal sudah lama berkembang walaupun kecil,."
Joan Rizal,1,7/28/2024 17:35,maps kacau!!!! sering banget kasih jalan k lokasi muter2 g jelas...padahal harusnya dekat malah lewat jalan2 kecil jadinya muter2....g jelas nih maps
ZEEC Fei,5,7/28/2024 15:42,aplikasi sangat membantu walaupun gak pake data tapi sangat akurat sekali saya rekomendasi aplikasi maps paling bagus
Itsme Vana,5,7/28/2024 15:22,"Sangat bagus sekali,membantu kita untuk mencari rumah dan mengantarkan sampai tujuan yang kita inginkan"
dla boutyou,5,7/28/2024 13:55,"sangat berguna sekali aplikasi ini, mempermudah untuk melacak lokasi dan mempercepat waktu perjalanan"
Advensia Fredila Rembon,5,7/28/2024 13:41,Sangat memuaskan! Karena sangat membantu saya untuk mencari lokasi dengan cepat dan efisien
Suyanto Aji Purwanto,1,7/28/2024 13:33,"Maps nya linglung/pikun Pokoknya jangan di download Bikin sakit hati doang Posisi nya saya di mana titik nya di maps di mana ,,, Tolong di perbaiki lah Kalo ga bisa bikin aplikasi mendingan dagang aja sampean,,,"
Kadek Dwi Dharma Putra,5,7/28/2024 9:33,"Saya saranin tambahin fitur dalam perjalanan bisa nyari warung toko atau apapun terdekat yang ngelewatin jalur yang dituju contoh, sewaktu mau jalan ketempat tujuan ingin mencari dagang kue terdekat yang satu arah atau setidaknya lewat tapi tidak jauh dari jalur tujuan, pasti akan sangat memudahkan pengguna maps"
Neng Triyan Oktaviani,5,7/28/2024 6:31,Aplikasi yang benar benar bisa membantu untuk mencari tempat tempat yang sulit untuk dijangkau.
Yana Mulyana,5,7/28/2024 2:26,"Sangat membantu dalam melaksanakan pekerjaan dan perjalanan,akurat"
Dirman Susanto,1,7/27/2024 20:59,Sudah komen masih aja ga ada tindakan. Batu bener. Maps nya perbaikin woy. Rute nya yg bener
Aagus Mustopa,5,7/27/2024 17:43,"kenapa mapstidak bisaberbagi lokasi.padahal lokasi sudah akurasi tinggi.terus cuma ada pratinjau,jadi ga bisa memulai perjalanan.padahal google maps sudah yg terbaru"
Ragil Rio,1,7/27/2024 17:31,kenapa yaa di android lama ga bisa bekerjaa mapsnyaa kayakk hp vivo v9 Android terlama lah intinyaa kalau di buat navigasii di buatt jalann kenapa tidak jalann mala terdapat suara sinyal gps anda lemahh kenapaa begituu yaa truss tidak dapat berjalan jika di mulaii kalau di rutee masih bisa jalan tolong di bantu menjawabb yaa terimakasihh
Aminah 05,5,7/27/2024 12:31,Google mapsmemperbaik dan meningkatksn keakuratan lokasi dan memperbaiki bug
jelajah nusantara,3,7/27/2024 10:11,"Update hampir tiap minggu ini Gmaps.. Tpi masih aja bodoh dan koclok Pdhal rute tinggal lurus aja,masih aja di belok""kin... B3 aja lah. Lebih bagusan waze dari pada Gmaps."
ABDUL ROHMAN,1,7/27/2024 0:26,maps bangke di perbaharui malah ngelunjak muterÂ² kaya gangsing malah sering di buat nyasar.. malah di tunjukin jalur sepedah hadeh gasekalian aja tunjukin jalur mendaki..
AGUNG TAN,1,7/26/2024 20:26,GPS BODOH. sudah diakurasi tetap kaga dapat yang tinggi selalu rendah
Novita Anggraini,5,7/26/2024 18:19,"Alhamdulillah, kampung kitab kuning recommended banget buat temen2 yang mau belajar nahwu Shorof dan Kitab kuning dalam waktu yang relatif singkat... Semoga semakin bermanfaat kedepannya"
Slamet widodo,5,7/26/2024 14:35,"walaupun ga pernh main jauh sampe luar pulau, tapi maps aplikasi slalu aku update karna penting buatku sendiri, semoga ajah slalu enak dipakai biar kita semua nyaman sebagai pengguna maps google ðŸ’…"
Rayhanghifari24 Ghifari,5,7/26/2024 14:33,Sangat bagus untuk perjalanan jauh rekomendasi banget pokoknya buat google map
Syaiful Rizal,2,7/26/2024 13:42,"Aplikasi Google Maps sering(beberapa kali) di-update/diperbarui), tapi tidak terbaru dan masih versi lama terus. (Tempatnya masih kayak dulu, misalnya bangunan rumah belum jadi-jadi, masih pondasi)"
Cecelia Marsela Faymau,2,7/26/2024 12:22,hp saya di tempat lain titik maps malah di tempat lain. Akurasi meleset 1.5 Km . Payah
Yunike Cantik,5,7/26/2024 12:15,Aplikasi ini sangat membantu para pengguna untuk mencari alamat. Sukses terus gmaps..
Shengguo,1,7/26/2024 9:21,genap ganjil jalan s Parman tidak ada perubahan.ganjil genap ke rs tarakan dari cideng juga salah .jalan ditutup jam 10 pagi .kalau bisa diperbaiki
Tito Armanda,1,7/26/2024 2:09,Kacau maps nya.. DOC ternak saya jdi lambat datang krna di kasih rute tercepat ngawur kata supirnya. Yg harusnya lwt poros malah masuk pelosok
Ardy Amatire,1,7/25/2024 23:02,Sering di arahkan ke jalan buntu / jalan yang di tutup permanen sama sering di arahkan ke jalan yang memutar cukup jauh.
In dra,1,7/25/2024 22:23,"Kadang pakek google map g sesuai yg d tuju , d puter"" trus Sampek bingung, saya sebagai kurir express kecewa sama aplikasi nya masak d buat muter"" g nyampek alamat nya ðŸ˜£"
muh adnan noor,5,7/25/2024 21:17,Sangat membantu buat perjalanan jauh dan juga lokasinya lumayan akurat
Ery In Drive,2,7/25/2024 19:49,"Hanya driver online yang bisa membaca dan menguasai maps, orang awam di jamin bakal bingung jika perjalanan menggunakan maps. Karena tidak sedikit rute rute yg simpel malah di arahkan ke gang2 sempit yg terkadang malah tidak bisa di lalui mobil. Entah patokan apa yg di gunakan Google Maps sehingga seringkali mengarahkan pengguna ke rute rute yg justrru menyusahkan pengguna. Apa karena pesanan dari pihak aplikasi ojek online supaya bisa sebagai pembenaran dari harga yg murah meriah."
erik febbyr,1,7/25/2024 17:50,Maps makin kesini makin parah.. navigasinya ngaco parah. Fakta di jalanan macet parah tapi di navigasinya biru lancar jaya ... Enta kdang kadang ente
dodowi sudjijo,3,7/25/2024 16:36,"Suka error, 2x kami dicarikan jalan yg lebih jauh dan lewat jalan yg sempit untuk masuk gerbang tol di setu Bekasi"
