userName,score,at,content,label,content_stopwords,content_stemmed
Dwifajar Agent property,1,8/5/2024 18:31,"Selalu memberi rute yang berubah tidak sesuai dengan lokasi yang sebenarnya, melenceng jauh, menghabiskan bahan bakar montor aja",negatif,"Selalu memberi rute berubah sesuai lokasi sebenarnya , melenceng jauh , menghabiskan bahan bakar montor aja",selalu beri rute ubah sesuai lokasi benar lenceng jauh habis bahan bakar montor aja
Yahya Abdau,1,8/5/2024 16:59,"Titik lompat lompat, pencarian rute ngawur, posisi jalan posisi titik nya kemana mana atau putar muter",negatif,"Titik lompat lompat , pencarian rute ngawur , posisi jalan posisi titik nya mana putar muter",titik lompat lompat cari rute ngawur posisi jalan posisi titik nya mana putar muter
Assyifa Ramadhan,5,8/5/2024 16:21,"menurut saya pengguna google maps sudah bagus, tapi terkadang adahal aneh tertangkap kamera",positif,"pengguna google maps bagus , terkadang adahal aneh tertangkap kamera",guna google maps bagus terkadang adahal aneh tangkap kamera
dewa sulawesi,1,8/5/2024 13:55,Maps sekarang sudah tidak akurat memberi petunjuk jalan sebagai seorang pengemudi taxi online saya sangat dirugikan.,negatif,Maps sekarang akurat memberi petunjuk jalan seorang pengemudi taxi online sangat dirugikan .,maps sekarang akurat beri tunjuk jalan orang kemudi taxi online sangat rugi
Giansyah Ugi,2,8/5/2024 13:51,"Sering error, rute sering di puter2.. titik tujuan sudahdepan mata tetapi malah di rubah rute ke yang lebih jauh..",negatif,"Sering error , rute sering puter2 .. titik tujuan sudahdepan mata malah rubah rute lebih jauh ..",sering error rute sering puter2 titik tuju sudahdepan mata malah rubah rute lebih jauh
titin yusuf,5,8/5/2024 13:06,"Google maps banyak membantu, kalau bisa biar tambah akurat dalam segala perjalanan danlokasinya",negatif,"Google maps banyak membantu , kalau biar tambah akurat segala perjalanan danlokasinya",google maps banyak bantu kalau biar tambah akurat segala jalan danlokasinya
Ahmad Alfian,1,8/5/2024 5:14,"Sering kehilangan sinyal, sering tidak valid, kecepatan gak terdeteksi",negatif,"Sering kehilangan sinyal , sering valid , kecepatan gak terdeteksi",sering hilang sinyal sering valid cepat gak deteksi
I.F.D. Youbosque,4,8/4/2024 23:33,Masih banyak yang harus di perbaharui terutama rute cepat masih sangat tidak sesuai... Msih sering di arahkan tidak sesuai nomor Plat pada tanggal tsb. Semoga ke depan lbh baik lgi.,negatif,banyak perbaharui terutama rute cepat sangat sesuai ... Msih sering arahkan sesuai nomor Plat tanggal tsb . Semoga depan lbh baik lgi .,banyak baharu utama rute cepat sangat sesuai msih sering arah sesuai nomor plat tanggal tsb moga depan lbh baik lgi
Agus Suryonegoro III - é˜¿å¤æ–¯Â·è‹çº¦è¯º,5,8/4/2024 22:32,"Pilihan opsi ""hindari jalan kecil"" dan""hindari jalan pemukiman"" mengapa tidak adaya / tidak muncul di tampilan setting Google Map..? Mohon petunjuk..",negatif,Pilihan opsi `` hindari jalan kecil '' '' hindari jalan pemukiman '' adaya / muncul tampilan setting Google Map .. ? Mohon petunjuk ..,pilih opsi hindar jalan kecil hindar jalan mukim adaya muncul tampil setting google map mohon tunjuk
Fauzi Mahardhika,5,8/4/2024 19:45,aplikasi navigasi dari google ini memang sangat membantu pengguna untukmenemukan jalan jalan di indonesia. semoga akan terus dikembangkan agar pemakaian danakurasinya semakin baik. semangat untukdeveloper gmaps untukterus berkembang kedepannya,negatif,aplikasi navigasi google memang sangat membantu pengguna untukmenemukan jalan jalan indonesia . semoga terus dikembangkan pemakaian danakurasinya semakin baik . semangat untukdeveloper gmaps untukterus berkembang kedepannya,aplikasi navigasi google memang sangat bantu guna untukmenemukan jalan jalan indonesia moga terus kembang pakai danakurasinya makin baik semangat untukdeveloper gmaps untukterus kembang depan
Saidina Umar,1,8/4/2024 19:42,Setelah di update bukan tambah membaik tapi kualitas semakin buruk.sinyal internet bagus tapi maps titik selalu ketinggalan.mending kembali sebelum update yang lalu.,positif,update bukan tambah membaik kualitas semakin buruk.sinyal internet bagus maps titik selalu ketinggalan.mending update lalu .,update bukan tambah baik kualitas makin buruk sinyal internet bagus maps titik selalu tinggal mending update lalu
hendra susanto,2,8/4/2024 18:48,Kenapa gerakin maps nya jadi panah. Bukan garis biru seperti dlu.. jadi lama gerakinya. Bkn lbh baik mlah lbh buruk parah,negatif,gerakin maps nya jadi panah . Bukan garis biru dlu .. jadi lama gerakinya . Bkn lbh baik mlah lbh buruk parah,gerakin maps nya jadi panah bukan garis biru dlu jadi lama gerak bkn lbh baik mlah lbh buruk parah
Andi Tobing,5,8/4/2024 18:47,Paling enak rasa original. Rasa iga bakarnya berani danlembut di mulut. Wajib nyoba untukyang di bintaro dansekitarnya,negatif,Paling enak rasa original . Rasa iga bakarnya berani danlembut mulut . Wajib nyoba untukyang bintaro dansekitarnya,paling enak rasa original rasa iga bakar berani danlembut mulut wajib nyoba untukyang bintaro dansekitarnya
Sakim Sakim,5,8/4/2024 18:45,"Sangat""membantu menemukan menunjukan suatu lokasi tempat yang akurat..pertahankan terus danbisa lebih baik lagi danlagi,.",negatif,"Sangat '' membantu menemukan menunjukan suatu lokasi tempat akurat .. pertahankan terus danbisa lebih baik danlagi , .",sangat bantu temu tunjuk suatu lokasi tempat akurat tahan terus danbisa lebih baik danlagi
Heriyanto Fadillah,5,8/4/2024 17:47,Lebih mudah dancepat mencari tempat/alamat.,negatif,Lebih mudah dancepat mencari tempat/alamat .,lebih mudah dancepat cari tempat alamat
Asgar Ryoghie,1,8/4/2024 16:34,"Setelah updat jadi tololll...disasarin brp kali sudah gtu tidak mau jln mandeg ditmp navigasinya, jalan sudah kmna navigasi masih menjedog",negatif,"updat jadi tololll ... disasarin brp kali gtu mau jln mandeg ditmp navigasinya , jalan kmna navigasi menjedog",updat jadi tololll disasarin brp kali gtu mau jln mandeg ditmp navigasi jalan kmna navigasi menjedog
irna kencana,3,8/4/2024 15:52,Makin parah saja google map adajarak yang lebih dekat malah dipake yang jauh perbaikilah kalau sudah bener baru kasih bintang 5,negatif,Makin parah google map adajarak lebih dekat malah dipake jauh perbaikilah kalau bener baru kasih bintang 5,makin parah google map adajarak lebih dekat malah dipake jauh baik kalau bener baru kasih bintang 5
Niang ayu rohma Dhini,2,8/4/2024 13:53,Hallo min kenapa sekrang liminasanya tidak seperti biasanya .. biasanya bisa di pakek beberapa hp TPI sekrang tidak bisa cuma hp 1 saja yang connec,negatif,Hallo min sekrang liminasanya biasanya .. biasanya pakek beberapa hp TPI sekrang cuma hp 1 connec,hallo min sekrang liminasanya biasa biasa pakek beberapa hp tpi sekrang cuma hp 1 connec
Ari Purnawan,5,8/4/2024 13:10,Mohon ditambahkan opsi rute Hindari jalan kecil danHindari jalan tanjakan tinggi,negatif,Mohon ditambahkan opsi rute Hindari jalan kecil danHindari jalan tanjakan tinggi,mohon tambah opsi rute hindar jalan kecil danhindari jalan tanjak tinggi
Alfarizie Mr,4,8/4/2024 12:58,"Rute untuksepeda motor mengapa sering hilang/tidak muncul dalam pilihan ya?? Dg clear data bisa muncul lg, tapi kadang juga gak muncul. Gmn yah???",negatif,"Rute untuksepeda motor sering hilang/tidak muncul pilihan ? ? Dg clear data muncul lg , kadang gak muncul . Gmn yah ? ? ?",rute untuksepeda motor sering hilang tidak muncul pilih dg clear data muncul lg kadang gak muncul gmn yah
Kimin Go,1,8/4/2024 11:44,"Kecewa banget sama google map nih,orang sudahkelewat baru bilang belok kiri padahal sinyal aman aman saja ðŸ¤¦â€â™‚ï¸ .jalan ikon nya juga patah patah terus padahal sinyall untukapa saja stabil",negatif,"Kecewa banget sama google map nih , orang sudahkelewat baru bilang belok kiri padahal sinyal aman aman ðŸ¤¦â€â™‚ï¸ .jalan ikon nya patah patah terus padahal sinyall untukapa stabil",kecewa banget sama google map nih orang sudahkelewat baru bilang belok kiri padahal sinyal aman aman jalan ikon nya patah patah terus padahal sinyall untukapa stabil
Isal Bae,5,8/4/2024 8:02,Aplikasinya sangat membantu bagi yang di tidak tau arah jalan yang kita tujuh aplikasi bagus banget tanpa adaiklan danmudah di pahami,positif,Aplikasinya sangat membantu tau arah jalan tujuh aplikasi bagus banget adaiklan danmudah pahami,aplikasi sangat bantu tau arah jalan tujuh aplikasi bagus banget adaiklan danmudah paham
Christian eben haezer Tobing,1,8/4/2024 7:03,"Google linimasa terlalu banyak error, masa jalan nya lurus aja,",negatif,"Google linimasa terlalu banyak error , masa jalan nya lurus aja ,",google linimasa terlalu banyak error masa jalan nya lurus aja
Aviv Rahman,1,8/4/2024 6:59,Lama2 aplikasinya bapuk.maps nya tidak pernah mau jalan.pdahal jaringan bagus,positif,Lama2 aplikasinya bapuk.maps nya pernah mau jalan.pdahal jaringan bagus,lama2 aplikasi bapuk maps nya pernah mau jalan pdahal jaring bagus
Adelia Eka,5,8/4/2024 6:14,google maps navigasi yang sempurna untukmencari titik lokasi dengan tepat,negatif,google maps navigasi sempurna untukmencari titik lokasi tepat,google maps navigasi sempurna untukmencari titik lokasi tepat
Kojingwan Robert,2,8/4/2024 4:50,Saya beri 2 karena maps sama yang asli di lapangan beda semua. Pertama dinas ketenagakerjaaan seharusnya jembatan danjalannya itu ke dinas ketenagakerjaan jadi satu yang di maps jalan sendiri lokasi dinas ketenagakerjaan sendiri jdi terpisah. Kedua sebelum alfamart seharusnya itu indomaret di maaps counter JNE. Ketiga es serut legend sudah tidak jualan lagi ini di maaps masih adadanletaknya di rumah warga. Ke empat SD N 2 Purwokerto itu yang asli tepatnya depan JL. Mangga 1 di maaps beda.,negatif,beri 2 maps sama asli lapangan beda semua . Pertama dinas ketenagakerjaaan jembatan danjalannya dinas ketenagakerjaan jadi satu maps jalan sendiri lokasi dinas ketenagakerjaan sendiri jdi terpisah . Kedua alfamart indomaret maaps counter JNE . Ketiga es serut legend jualan maaps adadanletaknya rumah warga . empat SD N 2 Purwokerto asli tepatnya depan JL . Mangga 1 maaps beda .,beri 2 maps sama asli lapang beda semua pertama dinas ketenagakerjaaan jembatan danjalannya dinas ketenagakerjaan jadi satu maps jalan sendiri lokasi dinas ketenagakerjaan sendiri jdi pisah dua alfamart indomaret maaps counter jne tiga es serut legend jual maaps adadanletaknya rumah warga empat sd n 2 purwokerto asli tepat depan jl mangga 1 maaps beda
akif irawan,1,8/4/2024 1:24,"di phone saya tidak adaopsi hindari jalan perkampungan atau hindari jalan kecil, atau hindari jalan sepeda motor. tidak seperti bersi lama yang lengkap",negatif,"phone adaopsi hindari jalan perkampungan hindari jalan kecil , hindari jalan sepeda motor . bersi lama lengkap",phone adaopsi hindar jalan kampung hindar jalan kecil hindar jalan sepeda motor bersi lama lengkap
Niitha Lestari,1,8/3/2024 22:14,"Akhir2 ini ntah kenapa maps jadi eror. Kita nya sudahjalan tetapi maps stuck dititik awal dantanpa adakejelasan brp kecepetan kita. Dan selalu adanotif ""sinyal gps hilang danmenelusuri gps"". Alhasil pk cara lama harus dipratinjau dulu atau nanya org2 sekitar. Malah semakin ribet semakin lama malah semakin muter2 gak jelas.",negatif,Akhir2 ntah maps jadi eror . nya sudahjalan maps stuck dititik awal dantanpa adakejelasan brp kecepetan . selalu adanotif `` sinyal gps hilang danmenelusuri gps '' . Alhasil pk cara lama dipratinjau dulu nanya org2 . Malah semakin ribet semakin lama malah semakin muter2 gak jelas .,akhir2 ntah maps jadi eror nya sudahjalan maps stuck titik awal dantanpa adakejelasan brp kecepetan selalu adanotif sinyal gps hilang danmenelusuri gps alhasil pk cara lama pratinjau dulu nanya org2 malah makin ribet makin lama malah makin muter2 gak jelas
novel enam,1,8/3/2024 22:06,"saya kerja menggunakan map , dansekarang buruk. tolong diperbaiki versi yqng baru ini",negatif,"kerja menggunakan map , dansekarang buruk . diperbaiki versi yqng baru",kerja guna map dansekarang buruk baik versi yqng baru
Pengamen jalanan,5,8/3/2024 21:50,"11.139.0200 adalah versi terbaik dari yang sebelum belumnya, pertahanankan. Kenapa bisa di bilang begitu? 1.titik kordinat biru bergerak ketika hp di gerakan. 2.tidak melalui jalan yang jelek padahal kalau lewat jalan yang jelek lebih Deket jalurnya. (Tidak semua pengemudi menyukai ini) Tapi saya suka karena takut di prank lagi dengan jalan yang jelek. Nb.jalan jelek itu jalan bukan yang di aspal sudahrusak, tapi jalan tanah yang ancur yang becek banyak batu jalan gak rata. 3.pertahankan ya",negatif,"11.139.0200 versi terbaik belumnya , pertahanankan . bilang ? 1.titik kordinat biru bergerak hp gerakan . 2.tidak melalui jalan jelek padahal kalau lewat jalan jelek lebih Deket jalurnya . ( semua pengemudi menyukai ) suka takut prank jalan jelek . Nb.jalan jelek jalan bukan aspal sudahrusak , jalan tanah ancur becek banyak batu jalan gak rata . 3.pertahankan",11 139 0200 versi baik belum pertahanankan bilang 1 titik kordinat biru gerak hp gera 2 tidak lalu jalan jelek padahal kalau lewat jalan jelek lebih deket jalur semua kemudi suka suka takut prank jalan jelek nb jalan jelek jalan bukan aspal sudahrusak jalan tanah ancur becek banyak batu jalan gak rata 3 tahan
alex antosontoloyo,1,8/3/2024 19:12,Titik berubah abu abu danklau biru nevigasi gak jln tolong di perbaiki,negatif,Titik berubah abu abu danklau biru nevigasi gak jln perbaiki,titik ubah abu abu danklau biru nevigasi gak jln baik
Musakif Anadz,1,8/3/2024 18:44,"Akurasi titik biru di maps tidak pas dengan posisi hp,buruk sekali sekarang",negatif,"Akurasi titik biru maps pas posisi hp , buruk sekali sekarang",akurasi titik biru maps pas posisi hp buruk sekali sekarang
Laode Muhammad Rasyid,2,8/3/2024 17:50,Untuk sementara waktu maps tidak dapat diandalkan di Kota Kendari dansekitarnya terutama ojol dansopir grab/maxim karena penunjuk jalannya tidak tepat atau tidak akurat. Mohon dilakukan perbaikan secepatnya.,negatif,waktu maps diandalkan Kota Kendari dansekitarnya terutama ojol dansopir grab/maxim penunjuk jalannya tepat akurat . Mohon dilakukan perbaikan secepatnya .,waktu maps andal kota kendari dansekitarnya utama ojol dansopir grab maxim tunjuk jalan tepat akurat mohon laku baik cepat
DIMAS BAGUS,3,8/3/2024 17:30,Thaks Gmaps saya sudah sering di bantu sebagai penunjuk arah banyak sekali pengalaman yang baik danjuga adayang lumanyan di kenang salah satunya nyasar ke kuburanðŸ˜‚ðŸ˜‚ðŸ˜‚,negatif,Thaks Gmaps sering bantu penunjuk arah banyak sekali pengalaman baik danjuga adayang lumanyan kenang salah satunya nyasar kuburanðŸ˜‚ðŸ˜‚ðŸ˜‚,thaks gmaps sering bantu tunjuk arah banyak sekali alam baik danjuga adayang lumanyan kenang salah satu nyasar kubur
Kholid rohman saputro,1,8/3/2024 15:57,"hbis update malah jdi berantakan. rumah gue tauÂ² pindah posisi, mlah jdi pinggir jalan besar, yang dlunya runah gue bisa di liat & dipetakan, skrang tidak bisa. parahhh",negatif,"hbis update malah jdi berantakan . rumah gue tauÂ² pindah posisi , mlah jdi pinggir jalan besar , dlunya runah gue liat & dipetakan , skrang . parahhh",hbis update malah jdi beranta rumah gue tau pindah posisi mlah jdi pinggir jalan besar dlunya runah gue liat peta skrang parahhh
M. Nur,3,8/3/2024 15:43,"Pengalaman Pribadi baru saya alami lokasi yang sudah hampir sampai 7menit lagi,setelah mau sampai tiba2 tujuan berubah jadi 28menit lagi,apa kita wajib muter2 lagi sampai bensin kita habis baru sampai",negatif,"Pengalaman Pribadi baru alami lokasi hampir 7menit , mau tiba2 tujuan berubah jadi 28menit , apa wajib muter2 bensin habis baru",alam pribadi baru alami lokasi hampir 7menit mau tiba2 tuju ubah jadi 28menit apa wajib muter2 bensin habis baru
Dedi Putra Sinurat,1,8/3/2024 15:17,"Google Maps memang gak jelas,, kesel saya sama google Maps ini, ngk akurat danngk jelas!!!!!",negatif,"Google Maps memang gak jelas , , kesel sama google Maps , ngk akurat danngk jelas ! ! ! ! !",google maps memang gak jelas kesel sama google maps ngk akurat danngk jelas
Hunan milliane Pambudi,3,8/3/2024 13:32,Mungkin perlu diperbarui ketepatannya... Sudah sampai dilokasi tetapi t4 belum muncul di linimasa maps nya,negatif,Mungkin perlu diperbarui ketepatannya ... dilokasi t4 muncul linimasa maps nya,mungkin perlu baru tepat lokasi t4 muncul linimasa maps nya
Kam Zhays Official,4,8/3/2024 11:28,Cukup membantu memandu perjalanan tapi masih juga lelet jika berputar arah atau putar balik jadi bingung di persimpangan,negatif,Cukup membantu memandu perjalanan lelet berputar arah putar balik jadi bingung persimpangan,cukup bantu pandu jalan lelet putar arah putar balik jadi bingung simpang
Khoerul Ikhwan,2,8/3/2024 7:17,"Dear developer,kenapa rute motor di maps hilang,tolong di tambahkan lagi rute sepeda motor nya,pakai rute mobil malah di arahkan ke rute yang lebih jauh",negatif,"Dear developer , rute motor maps hilang , tambahkan rute sepeda motor nya , pakai rute mobil malah arahkan rute lebih jauh",dear developer rute motor maps hilang tambah rute sepeda motor nya pakai rute mobil malah arah rute lebih jauh
Fany Mohammad,1,8/2/2024 22:54,"kurang uptodate, yang menyebabkan tidak akurat danpengguna sering tersesat di jalan. Titik Kordinat banyak tidak sesuai dengan lapangan.",negatif,"kurang uptodate , menyebabkan akurat danpengguna sering tersesat jalan . Titik Kordinat banyak sesuai lapangan .",kurang uptodate sebab akurat danpengguna sering sesat jalan titik kordinat banyak sesuai lapang
imou hajir,5,8/2/2024 21:58,"Bagus Lokasinya akurat, sesuai Aslinya, rutenya juga tepat danpas .",negatif,"Bagus Lokasinya akurat , sesuai Aslinya , rutenya tepat danpas .",bagus lokasi akurat sesuai asli rute tepat danpas
Rani Arta Ningrum,2,8/2/2024 18:41,"Buka maps malah njengkelin, mau nyari tempat susah. Mau pencet rute malah keluar sendiri apknya, pencet mulai juga sama! Udah diijinkan semua di info apk, sudahdi update tetep sama aja. Pihak admin gimana sih? Kadang mau sharelock titik nya beda jauh. Kecewa berat",negatif,"Buka maps malah njengkelin , mau nyari tempat susah . Mau pencet rute malah keluar sendiri apknya , pencet mulai sama ! Udah diijinkan semua info apk , sudahdi update tetep sama aja . Pihak admin gimana sih ? Kadang mau sharelock titik nya beda jauh . Kecewa berat",buka maps malah njengkelin mau nyari tempat susah mau pencet rute malah keluar sendiri apknya pencet mulai sama udah diijinkan semua info apk sudahdi update tetep sama aja pihak admin gimana sih kadang mau sharelock titik nya beda jauh kecewa berat
Habibur Rahim,5,8/2/2024 18:01,"aplikasi yang mudah di gunakan dandi pahami, sangan membantu sekali",negatif,"aplikasi mudah gunakan dandi pahami , sangan membantu sekali",aplikasi mudah guna dandi paham sangan bantu sekali
Reki Oktapriadi,5,8/2/2024 17:32,"Saya mengelola bisnis,,, tapi saya susah mengatur titik lokasi bisnis saya sesuai tempat. Tolong di bantu.",negatif,"mengelola bisnis , , , susah mengatur titik lokasi bisnis sesuai tempat . bantu .",kelola bisnis susah atur titik lokasi bisnis sesuai tempat bantu
Ricky Remc,5,8/2/2024 17:18,"Saya berharap adatambahan fitur tanjakan curam untukmenghindari jalan tersebut, jalan extreme, minimal dikasih tau sebelumnya dmn letak jalan extreme nya.. Trimakasih ðŸ™",negatif,"berharap adatambahan fitur tanjakan curam untukmenghindari jalan tersebut , jalan extreme , minimal dikasih tau sebelumnya dmn letak jalan extreme nya .. Trimakasih ðŸ™",harap adatambahan fitur tanjak curam untukmenghindari jalan sebut jalan extreme minimal kasih tau belum dmn letak jalan extreme nya trimakasih
Muhammad Abdul Karim,1,8/2/2024 17:02,"Saya cek posisi saya sangat tidak akurat, masak jarak saya di map berjarak 500 km, tolong perbaiki.",negatif,"cek posisi sangat akurat , masak jarak map berjarak 500 km , perbaiki .",cek posisi sangat akurat masak jarak map jarak 500 km baik
calon editor,5,8/2/2024 16:05,Membantu cuma kenapa gps ku kaya orang pikun tiba tiba berubah arah terus suruh belok kanan lah kiri lah suruh putar balik lah padahal jalan cuma satu lurus saja nggak adabelokanðŸ˜†ðŸ˜†ðŸ˜†,negatif,Membantu cuma gps ku kaya orang pikun tiba tiba berubah arah terus suruh belok kanan lah kiri lah suruh putar balik lah padahal jalan cuma satu lurus adabelokanðŸ˜†ðŸ˜†ðŸ˜†,bantu cuma gps ku kaya orang pikun tiba tiba ubah arah terus suruh belok kanan lah kiri lah suruh putar balik lah padahal jalan cuma satu lurus adabelokan
Saka Maulana,1,8/2/2024 11:25,Setelah update Tiba2 google maps di hp saya gak jalan..padahal biasanya normal,negatif,update Tiba2 google maps hp gak jalan .. padahal biasanya normal,update tiba2 google maps hp gak jalan padahal biasa normal
Lukas Teguh Santoso,5,8/2/2024 10:39,Tolong dong untukgoogle maps... Tambahkan jalur untukmobil golongan 2 seperti truk...,negatif,dong untukgoogle maps ... Tambahkan jalur untukmobil golongan 2 truk ...,dong untukgoogle maps tambah jalur untukmobil golong 2 truk
RAHMAT DANI,5,8/2/2024 8:50,Cukup memuaskan minat saya. Dan selebihnya lebih ditambahkan atau ditingkatkan fitur-fiturnya. TerimaKasihðŸ˜,negatif,Cukup memuaskan minat . selebihnya lebih ditambahkan ditingkatkan fitur-fiturnya . TerimaKasihðŸ˜,cukup muas minat lebih lebih tambah tingkat fitur-fiturnya terimakasih
Sopo Jarwo (Gosh Bird),1,8/2/2024 5:20,"Kapan bisa rubah suara sendiri (pribadi) pada navigasi, seperti di waze. Bosan dengar suara system terus. Lebih maju dong",negatif,"Kapan rubah suara sendiri ( pribadi ) navigasi , waze . Bosan dengar suara system terus . Lebih maju dong",kapan rubah suara sendiri pribadi navigasi waze bosan dengar suara system terus lebih maju dong
Mugi yati,5,8/1/2024 20:40,fitur nya semakin bgus di aplikasi gogle maps nya sekarang sudah di updete jdi semakin bgus,negatif,fitur nya semakin bgus aplikasi gogle maps nya sekarang updete jdi semakin bgus,fitur nya makin bgus aplikasi gogle maps nya sekarang updete jdi makin bgus
selsabitta fjreriana,5,8/1/2024 19:39,"aplikasi yang sangat mempermudah perjalanan dimanapun kapanpun, gak khawatir lagi untuktersesat best sangat ðŸ˜ŠðŸ˜ŠðŸ‘ðŸ‘ðŸ‘",negatif,"aplikasi sangat mempermudah perjalanan dimanapun kapanpun , gak khawatir untuktersesat best sangat ðŸ˜ŠðŸ˜ŠðŸ ‘ ðŸ ‘ ðŸ ‘ ",aplikasi sangat mudah jalan mana kapan gak khawatir untuktersesat best sangat
AdiLovei PutriAldiRasyid,4,8/1/2024 18:46,Aplikasi Google Maps Setelah Di UpDate Kinerjanya Seperti nya Kurang Cepat Respon Gak Seperti Biasanya... Tolong Dong Pihak Terkait Untuk Kebih Meringankan Aplikasi Saat Di Buka Dan Cepat Respon.. Thanks Untuk Google Maps.. Semoga Kedepannya Jadi Yang Terbaik Dari Yang Terbaik..,negatif,Aplikasi Google Maps UpDate Kinerjanya nya Kurang Cepat Respon Gak Biasanya ... Dong Pihak Terkait Kebih Meringankan Aplikasi Buka Cepat Respon .. Thanks Google Maps .. Semoga Kedepannya Jadi Terbaik Terbaik ..,aplikasi google maps update kerja nya kurang cepat respon gak biasa dong pihak kait kebih ringan aplikasi buka cepat respon thanks google maps moga depan jadi baik baik
yeyen laros,5,8/1/2024 18:42,"Bisa gak sih membedakan jalan untukkendaraan besar dankendaraan kecil, saya sering di sasarin diarahkan ke jalan komplek, Pake mobil disamakan seperti naik motor suruh lewat gang kecil. Ngaco ah",negatif,"gak sih membedakan jalan untukkendaraan besar dankendaraan kecil , sering sasarin diarahkan jalan komplek , Pake mobil disamakan naik motor suruh lewat gang kecil . Ngaco ah",gak sih beda jalan untukkendaraan besar dankendaraan kecil sering sasarin arah jalan komplek pake mobil sama naik motor suruh lewat gang kecil ngaco ah
Rina Jayusman,4,8/1/2024 18:31,"Lokasi rumah kadang kurang akurat danlokasi real time, tolong di optimalkan.",negatif,"Lokasi rumah kadang kurang akurat danlokasi real time , optimalkan .",lokasi rumah kadang kurang akurat danlokasi real time optimal
Ilmi Kzhra,5,8/1/2024 18:01,"Emm bagus ya tapi tolong perbaiki bugnya ya kan aku mau ketik di pencarian terus aku ketik ""majelis ngaji al-rahman"" malah tidak adatolong ya min perbaiki bugnya pliss",positif,Emm bagus perbaiki bugnya kan aku mau ketik pencarian terus aku ketik `` majelis ngaji al-rahman '' malah adatolong min perbaiki bugnya pliss,emm bagus baik bugnya kan aku mau ketik cari terus aku ketik majelis ngaji al-rahman malah adatolong min baik bugnya pliss
boing tea1,1,8/1/2024 17:20,"nyusahin orang, dipilihnya jala sempit pedahal jalan lebar banyak, aplikasi perlu banyak perbaikan! nyusahin!!!!",negatif,"nyusahin orang , dipilihnya jala sempit pedahal jalan lebar banyak , aplikasi perlu banyak perbaikan ! nyusahin ! ! ! !",nyusahin orang pilih jala sempit pedahal jalan lebar banyak aplikasi perlu banyak baik nyusahin
