userName,score,at,content
Indra Lesmana01,5,7/29/2024 18:49,tolong dong di perbaiki agar lebih tepat ke titik tujuan sangat sulit banget buat drever kadang lemot juga
AlfianBibah Bibah,5,7/29/2024 17:11,terus membaik maps dan akurat soala saya sangat membutuhkan petunjuk peta
Tri Wahyu,3,7/29/2024 15:42,kenapa sering terjadi tidak ada navigasi untuk sepeda motor kemana perginya navigasi motor
ONE LOVE,5,7/29/2024 15:01,saran kalo bisa di sediakan fitur pengingat alarm saat mau melewati sebuah tempat dalam perjalanan misal saat jam pulang kantor mau ngambil barang di salah satu kantor expedisi jd pas pulang walaupun kita lupa tp mau lewat lokasi tersebut alarm pengingatnya bunyi untuk mengingatkan yg punya hp
Sudiaman Nainggolan,3,7/29/2024 14:24,seringkali alami gangguan route padahal sy sbgi driver gocar hampir  bln tapi di hp customer bagus
Ribbi Novianti,5,7/29/2024 14:03,saya beri bintang  karena saya pas tersesat saya mencari di google maps ternyata saya salah jalan wow estetik sekali ya oke deh terima kasih atas perhatiannya kami ucapkan terima kasih
Azwarwadi,5,7/29/2024 13:42,syaa telah terbantu dengan aplikasi ini dan saya juga bisa akses jalan untuk bisa sampai ke tujuan dan aplikasi ini sanagt bermanfaat bagi saya dan juga sangat bagus untuk di pakai
Didi Sahidi,5,7/29/2024 12:41,sangat membantu untuk kemana yang kita tuju dan sangat terimakasih atas ada yah google maps ini
Siska Sinaga,5,7/29/2024 12:18,apk nya cepat saat di download dan sangat mudah untuk di pahami sehingga tidak lagi repot repot mencari tempat tujuan tinggal guna apk aj dan cari tempat tujuan nya
XI MM 3 Advent Boy Tampubolon,5,7/29/2024 12:09,aplikasi goegle maps sangatlah bagus di karnakan bisa mempermudah masyarakat untuk menemukan jalan
Kam Nadhoya Zhay,5,7/29/2024 11:13,bagus tapi akurasi perlu lebih ditingkatkan
wielly Lie (Wiellylie),1,7/29/2024 8:24,semakin di update malah semakin parah lokasinya tidak bisa akurat dan tepat tolong untuk di hapuskan yang pakai fake gps karna sangat mengganggu aktifitas kami sebagai driver
Afada Nur Chaida,2,7/29/2024 7:31,dear gmaps saya sudah memilih rute a namun malah arahkan ke rute b sehingga membuat kami terlambat dalam perjalanan memilih rute tercepat dan lancar namun diarahkan ke rute padat dan jauh terimakasih
Ahmadbin syafiudin,1,7/29/2024 0:17,titik biru maps selalu loncatloncat ke arah yang salah tolong dari pihak google maps di perbaiki lagi
Ridho Noerfauzi,1,7/28/2024 22:49,minimnya fitur seperti tidak ada opsi avoid tol dan rute dengan menggunakan kendaraan motor
Asry_ Arima,4,7/28/2024 19:12,perbarui maps satelitnya karna tempat saya di sulawesi tenggara masih terlihat seperti hutan padahal sudah lama berkembang walaupun kecil
Joan Rizal,1,7/28/2024 17:35,maps kacau sering banget kasih jalan k lokasi muter g jelaspadahal harusnya dekat malah lewat jalan kecil jadinya muterg jelas nih maps
ZEEC Fei,5,7/28/2024 15:42,aplikasi sangat membantu walaupun gak pake data tapi sangat akurat sekali saya rekomendasi aplikasi maps paling bagus
Itsme Vana,5,7/28/2024 15:22,sangat bagus sekalimembantu kita untuk mencari rumah dan mengantarkan sampai tujuan yang kita inginkan
dla boutyou,5,7/28/2024 13:55,sangat berguna sekali aplikasi ini mempermudah untuk melacak lokasi dan mempercepat waktu perjalanan
Advensia Fredila Rembon,5,7/28/2024 13:41,sangat memuaskan karena sangat membantu saya untuk mencari lokasi dengan cepat dan efisien
Suyanto Aji Purwanto,1,7/28/2024 13:33,maps nya linglungpikun pokoknya jangan di download bikin sakit hati doang posisi nya saya di mana titik nya di maps di mana tolong di perbaiki lah kalo ga bisa bikin aplikasi mendingan dagang aja sampean
Kadek Dwi Dharma Putra,5,7/28/2024 9:33,saya saranin tambahin fitur dalam perjalanan bisa nyari warung toko atau apapun terdekat yang ngelewatin jalur yang dituju contoh sewaktu mau jalan ketempat tujuan ingin mencari dagang kue terdekat yang satu arah atau setidaknya lewat tapi tidak jauh dari jalur tujuan pasti akan sangat memudahkan pengguna maps
Neng Triyan Oktaviani,5,7/28/2024 6:31,aplikasi yang benar benar bisa membantu untuk mencari tempat tempat yang sulit untuk dijangkau
Yana Mulyana,5,7/28/2024 2:26,sangat membantu dalam melaksanakan pekerjaan dan perjalananakurat
Dirman Susanto,1,7/27/2024 20:59,sudah komen masih aja ga ada tindakan batu bener maps nya perbaikin woy rute nya yg bener
Aagus Mustopa,5,7/27/2024 17:43,kenapa mapstidak bisaberbagi lokasipadahal lokasi sudah akurasi tinggiterus cuma ada pratinjaujadi ga bisa memulai perjalananpadahal google maps sudah yg terbaru
Ragil Rio,1,7/27/2024 17:31,kenapa yaa di android lama ga bisa bekerjaa mapsnyaa kayakk hp vivo v android terlama lah intinyaa kalau di buat navigasii di buatt jalann kenapa tidak jalann mala terdapat suara sinyal gps anda lemahh kenapaa begituu yaa truss tidak dapat berjalan jika di mulaii kalau di rutee masih bisa jalan tolong di bantu menjawabb yaa terimakasihh
Aminah 05,5,7/27/2024 12:31,google mapsmemperbaik dan meningkatksn keakuratan lokasi dan memperbaiki bug
jelajah nusantara,3,7/27/2024 10:11,update hampir tiap minggu ini gmaps tpi masih aja bodoh dan koclok pdhal rute tinggal lurus ajamasih aja di belokkin b aja lah lebih bagusan waze dari pada gmaps
ABDUL ROHMAN,1,7/27/2024 0:26,maps bangke di perbaharui malah ngelunjak muter kaya gangsing malah sering di buat nyasar malah di tunjukin jalur sepedah hadeh gasekalian aja tunjukin jalur mendaki
AGUNG TAN,1,7/26/2024 20:26,gps bodoh sudah diakurasi tetap kaga dapat yang tinggi selalu rendah
Novita Anggraini,5,7/26/2024 18:19,alhamdulillah kampung kitab kuning recommended banget buat temen yang mau belajar nahwu shorof dan kitab kuning dalam waktu yang relatif singkat semoga semakin bermanfaat kedepannya
Slamet widodo,5,7/26/2024 14:35,walaupun ga pernh main jauh sampe luar pulau tapi maps aplikasi slalu aku update karna penting buatku sendiri semoga ajah slalu enak dipakai biar kita semua nyaman sebagai pengguna maps google
Rayhanghifari24 Ghifari,5,7/26/2024 14:33,sangat bagus untuk perjalanan jauh rekomendasi banget pokoknya buat google map
Syaiful Rizal,2,7/26/2024 13:42,aplikasi google maps seringbeberapa kali diupdatediperbarui tapi tidak terbaru dan masih versi lama terus tempatnya masih kayak dulu misalnya bangunan rumah belum jadijadi masih pondasi
Cecelia Marsela Faymau,2,7/26/2024 12:22,hp saya di tempat lain titik maps malah di tempat lain akurasi meleset  km payah
Yunike Cantik,5,7/26/2024 12:15,aplikasi ini sangat membantu para pengguna untuk mencari alamat sukses terus gmaps
Shengguo,1,7/26/2024 9:21,genap ganjil jalan s parman tidak ada perubahanganjil genap ke rs tarakan dari cideng juga salah jalan ditutup jam  pagi kalau bisa diperbaiki
Tito Armanda,1,7/26/2024 2:09,kacau maps nya doc ternak saya jdi lambat datang krna di kasih rute tercepat ngawur kata supirnya yg harusnya lwt poros malah masuk pelosok
Ardy Amatire,1,7/25/2024 23:02,sering di arahkan ke jalan buntu jalan yang di tutup permanen sama sering di arahkan ke jalan yang memutar cukup jauh
In dra,1,7/25/2024 22:23,kadang pakek google map g sesuai yg d tuju d puter trus sampek bingung saya sebagai kurir express kecewa sama aplikasi nya masak d buat muter g nyampek alamat nya
muh adnan noor,5,7/25/2024 21:17,sangat membantu buat perjalanan jauh dan juga lokasinya lumayan akurat
Ery In Drive,2,7/25/2024 19:49,hanya driver online yang bisa membaca dan menguasai maps orang awam di jamin bakal bingung jika perjalanan menggunakan maps karena tidak sedikit rute rute yg simpel malah di arahkan ke gang sempit yg terkadang malah tidak bisa di lalui mobil entah patokan apa yg di gunakan google maps sehingga seringkali mengarahkan pengguna ke rute rute yg justrru menyusahkan pengguna apa karena pesanan dari pihak aplikasi ojek online supaya bisa sebagai pembenaran dari harga yg murah meriah
erik febbyr,1,7/25/2024 17:50,maps makin kesini makin parah navigasinya ngaco parah fakta di jalanan macet parah tapi di navigasinya biru lancar jaya enta kdang kadang ente
dodowi sudjijo,3,7/25/2024 16:36,suka error x kami dicarikan jalan yg lebih jauh dan lewat jalan yg sempit untuk masuk gerbang tol di setu bekasi
Gilang Byntara,5,7/25/2024 12:02,bagus dan informasi sangat menjelaskan posisi sesuai akurasinya
Bambang Erawan,5,7/25/2024 11:40,tolong akurasinya ditingkatkan dan kecepatan loading thanks
Gian Pramana,1,7/25/2024 8:21,kacau yang sekarang ini menjadi lambat dan kalau sudah dekat auto zoom aplikasi sudah tua tapi belum tuntas sampah banget
Supri Adi,5,7/25/2024 5:28,gimana ini goggle maps sekarang kalau kita jalan nggak ngikut padahal saya jalan tapi maps nya masih mantap dan tetap di mana saya berada sebelumnya tolong di perbaiki lagi ini versi baru nya
Muhd_irfan Wrd14,2,7/24/2024 21:47,navigasi nya kacau banget titik biru nya hanya diam di tempat dan sering pindah sendiri jadi susah menemukan lokasinya semenjak update maps jadi tidak berfungsi sama sekali walaupun sudah di kalibrasi tetap saja diam di tempat titik biru saya jadi susah menggunakannya mohon di perbaiki lagi lah apa hp di ram gb sudah tidak bisa menggunakan maps lagi
Arif Sumar,2,7/24/2024 21:18,maps suka binggung sering muter menunjukan arah tujuan suka di tujukan jalan yg sempit dan juga buntu
Cover Bodymobil,1,7/24/2024 20:33,tambah di update tambah kacau udah jelas ada jalur terpendek di puter ke jalur gk jelas untung aja ngerti wilayah klo gak muter gk karuan
Sukron MD,5,7/24/2024 19:26,titik kordinat lokasi tidak akuratjarak titik lokasi saya dgn di peta satelit kurang lebih  km
Ana Luci,2,7/24/2024 18:23,maaf kasih bintang  soalnya memang kurang rekomen karena cek linimasa di android go tidak berfungsi
Sep Rohmat,5,7/24/2024 17:48,sangat membantu semoga kedepannya lebih akurat lg terutama klu masuk gang kecil perkampungan
Ali .S,5,7/24/2024 16:09,sangat membantu sekali dalam menelusuri tempat yg menarik hati cuma mohon untuk lebih ditingkat lagi akurasi tempat tersebut maz bro trim
Rezer Abdullah,1,7/24/2024 15:07,ini knp saat menggunakan navigasi selalu ketinggalan navigasi nya jauh dari posisi saat itu perbaiki navigasi segera
Hakun,1,7/24/2024 14:54,google saya sudah melaporkan lewat akun profil saya pada kolom saran dan kritik tapi anehnya tidak bisa mengirim hasil screenshot untuk menunjukan bug atau nama perangkat yang berhasil tertanam di playstore karena malware tersebut berhasil merubah setinngannya
